"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01440!!Estimate","ZCTA5 01440!!Margin of Error","ZCTA5 01440!!Percent","ZCTA5 01440!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,904","±324","8,904","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,861","±392","43.4%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,052","±173","11.8%","±2.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,007","±257","11.3%","±2.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","431","±201","4.8%","±2.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,874","±336","21.0%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","109","±94","1.2%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,443","±317","16.2%","±3.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","465","±185","5.2%","±2.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,162","±359","24.3%","±3.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","417","±141","4.7%","±1.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,275","±262","14.3%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","615","±185","6.9%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,265","±229","25.4%","±2.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,835","±327","31.8%","±3.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.25","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.73","±0.10","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","20,063","±248","20,063","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,904","±324","44.4%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,755","±358","18.7%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,035","±279","5.2%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,659","±377","23.2%","±1.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,090","±347","5.4%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","620","±164","3.1%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,629","±387","9,629","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,752","±418","39.0%","±3.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,154","±353","43.1%","±4.0"
"        Separated","37,600","±1,670","1.3%","±0.1","155","±81","1.6%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","331","±127","3.4%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,237","±250","12.8%","±2.5"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8,454","±396","8,454","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,324","±326","27.5%","±3.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,980","±413","47.1%","±4.6"
"        Separated","55,256","±1,859","1.8%","±0.1","193","±105","2.3%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","972","±239","11.5%","±2.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","985","±225","11.7%","±2.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","221","±150","221","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","175","±137","79.2%","±17.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","71","±54","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","54","±37","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±95","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","92","±68","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","24","±27","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","400","±170","400","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","121","±87","30.3%","±21.8"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±9.5"
