"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01247!!Estimate","ZCTA5 01247!!Margin of Error","ZCTA5 01247!!Percent","ZCTA5 01247!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,527","±341","6,527","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,381","±245","36.5%","±3.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","708","±167","10.8%","±2.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","808","±178","12.4%","±2.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","274","±123","4.2%","±2.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,444","±256","22.1%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","19","±23","0.3%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,149","±234","17.6%","±3.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","436","±136","6.7%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,894","±284","29.0%","±3.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","372","±138","5.7%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,154","±227","17.7%","±2.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","520","±139","8.0%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,563","±181","23.9%","±3.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,291","±214","35.1%","±3.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.21","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.84","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","14,407","±301","14,407","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,527","±341","45.3%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,417","±241","16.8%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","782","±174","5.4%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,604","±288","25.0%","±1.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","628","±246","4.4%","±1.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","449","±217","3.1%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,552","±294","6,552","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,893","±369","44.2%","±4.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,500","±222","38.2%","±3.7"
"        Separated","37,600","±1,670","1.3%","±0.1","100","±84","1.5%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","295","±122","4.5%","±1.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","764","±143","11.7%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,674","±276","6,674","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,339","±281","35.0%","±3.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,541","±257","38.1%","±3.8"
"        Separated","55,256","±1,859","1.8%","±0.1","164","±88","2.5%","±1.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","494","±125","7.4%","±1.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,136","±199","17.0%","±3.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","222","±95","222","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","144","±71","64.9%","±25.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","55","±26","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","62","±26","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","21","±33","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","132","±66","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","18","±16","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","295","±134","295","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","165","±99","55.9%","±22.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","47","±43","15.9%","±13.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","54","±57","18.3%","±17.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±12.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","64","±72","21.7%","±21.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","165","±99","165","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","99","±58","60.0%","±8.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","151","±93","91.5%","±9.3"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,769","±485","3,769","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","102","±54","2.7%","±1.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","83","±74","2.2%","±1.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,380","±229","36.6%","±4.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","751","±181","19.9%","±4.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,453","±293","38.6%","±5.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","10,634","±380","10,634","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","587","±187","5.5%","±1.7"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","618","±145","5.8%","±1.4"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,820","±422","35.9%","±3.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,215","±351","20.8%","±3.2"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","804","±190","7.6%","±1.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,512","±276","14.2%","±2.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,078","±174","10.1%","±1.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","9,429","±375","88.7%","±2.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,590","±319","24.4%","±3.1"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","12,702","±309","12,702","(X)"
