"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01226!!Estimate","ZCTA5 01226!!Margin of Error","ZCTA5 01226!!Percent","ZCTA5 01226!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,907","±264","2,907","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,416","±161","48.7%","±7.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","528","±144","18.2%","±6.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","51","±45","1.8%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±19","0.0%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","504","±224","17.3%","±6.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","82","±93","2.8%","±3.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","372","±203","12.8%","±6.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","73","±62","2.5%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","936","±237","32.2%","±6.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","38","±45","1.3%","±1.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","727","±228","25.0%","±6.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","350","±166","12.0%","±5.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","673","±128","23.2%","±5.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,087","±189","37.4%","±5.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.16","±0.19","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.86","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,265","±36","6,265","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,907","±264","46.4%","±4.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,413","±153","22.6%","±2.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","59","±55","0.9%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,609","±218","25.7%","±3.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","96","±68","1.5%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","181","±211","2.9%","±3.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,544","±242","2,544","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","649","±226","25.5%","±7.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,496","±175","58.8%","±8.7"
"        Separated","37,600","±1,670","1.3%","±0.1","112","±107","4.4%","±4.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","69","±52","2.7%","±2.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","218","±160","8.6%","±6.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,743","±227","2,743","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","346","±143","12.6%","±4.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,466","±159","53.4%","±6.9"
"        Separated","55,256","±1,859","1.8%","±0.1","23","±32","0.8%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","537","±198","19.6%","±6.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","371","±151","13.5%","±5.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±19","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","-","**"
