"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01864!!Estimate","ZCTA5 01864!!Margin of Error","ZCTA5 01864!!Percent","ZCTA5 01864!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,848","±217","5,848","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,720","±309","63.6%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,721","±210","29.4%","±4.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","220","±119","3.8%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","36","±33","0.6%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","622","±281","10.6%","±4.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","13","±23","0.2%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","469","±260","8.0%","±4.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","81","±64","1.4%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,286","±314","22.0%","±5.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","266","±173","4.5%","±2.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","805","±212","13.8%","±3.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","418","±153","7.1%","±2.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,095","±235","35.8%","±4.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,381","±197","23.6%","±3.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.63","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.14","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,408","±91","15,408","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,848","±217","38.0%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,790","±323","24.6%","±2.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","226","±122","1.5%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,114","±331","33.2%","±2.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","310","±136","2.0%","±0.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","120","±82","0.8%","±0.5"
"MARITAL STATUS","","","","","","","",""
