"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01886!!Estimate","ZCTA5 01886!!Margin of Error","ZCTA5 01886!!Percent","ZCTA5 01886!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,515","±253","8,515","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,131","±299","72.0%","±3.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,131","±261","36.8%","±3.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","262","±107","3.1%","±1.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","119","±98","1.4%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","879","±187","10.3%","±2.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","156","±84","1.8%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","615","±165","7.2%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","264","±127","3.1%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,243","±245","14.6%","±2.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","308","±124","3.6%","±1.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","619","±139","7.3%","±1.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","312","±105","3.7%","±1.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,801","±245","44.6%","±3.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,182","±228","25.6%","±2.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.88","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.10","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","24,512","±31","24,512","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,515","±253","34.7%","±1.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","6,004","±282","24.5%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","370","±248","1.5%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,841","±394","36.1%","±1.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","642","±207","2.6%","±0.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","140","±73","0.6%","±0.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,709","±368","9,709","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,547","±339","26.2%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,385","±307","65.8%","±3.3"
"        Separated","37,600","±1,670","1.3%","±0.1","78","±51","0.8%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","260","±135","2.7%","±1.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","439","±137","4.5%","±1.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","9,740","±452","9,740","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,252","±375","23.1%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,136","±282","63.0%","±3.9"
"        Separated","55,256","±1,859","1.8%","±0.1","80","±58","0.8%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","566","±190","5.8%","±1.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","706","±181","7.2%","±1.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","304","±132","304","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","25","±24","8.2%","±8.6"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","10","±10","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","54","±23","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±34","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","88","±43","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","57","±34","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","285","±122","285","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","58","±59","20.4%","±20.4"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","11","±18","3.9%","±7.0"
