"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01033!!Estimate","ZCTA5 01033!!Margin of Error","ZCTA5 01033!!Percent","ZCTA5 01033!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,530","±198","2,530","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,532","±212","60.6%","±7.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","384","±104","15.2%","±4.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","60","±52","2.4%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","26","±33","1.0%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","305","±126","12.1%","±4.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","34","±38","1.3%","±1.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","237","±120","9.4%","±4.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","33","±37","1.3%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","633","±178","25.0%","±6.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","62","±59","2.5%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","326","±134","12.9%","±5.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","211","±104","8.3%","±4.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","572","±121","22.6%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","845","±132","33.4%","±5.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.41","±0.19","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.79","±0.26","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,109","±22","6,109","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,530","±198","41.4%","±3.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,474","±180","24.1%","±3.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","65","±56","1.1%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,591","±241","26.0%","±4.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","304","±137","5.0%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","145","±96","2.4%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,562","±251","2,562","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","742","±203","29.0%","±6.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,659","±228","64.8%","±6.7"
"        Separated","37,600","±1,670","1.3%","±0.1","10","±18","0.4%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","62","±49","2.4%","±1.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","89","±52","3.5%","±2.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,875","±256","2,875","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","560","±215","19.5%","±6.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,628","±215","56.6%","±8.0"
"        Separated","55,256","±1,859","1.8%","±0.1","66","±72","2.3%","±2.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","270","±113","9.4%","±3.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","351","±137","12.2%","±4.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","33","±35","33","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±57.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±70","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","24","±25","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±185","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","60","±65","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±60","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","82","±87","82","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±19","0.0%","±36.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±36.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","0.0%","±36.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±36.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","0.0%","±36.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±19","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±19","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±19","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,416","±271","1,416","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","59","±50","4.2%","±3.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","39","±42","2.8%","±2.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","424","±132","29.9%","±10.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","301","±127","21.3%","±8.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","593","±247","41.9%","±12.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","4,563","±268","4,563","(X)"
