"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01420!!Estimate","ZCTA5 01420!!Margin of Error","ZCTA5 01420!!Percent","ZCTA5 01420!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","16,383","±546","16,383","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,971","±396","36.4%","±2.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,330","±323","14.2%","±2.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,559","±335","9.5%","±2.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","505","±200","3.1%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,820","±492","23.3%","±2.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","166","±88","1.0%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,524","±477","15.4%","±2.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","567","±145","3.5%","±0.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","5,033","±605","30.7%","±3.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,195","±405","7.3%","±2.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,523","±385","15.4%","±2.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,049","±204","6.4%","±1.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,797","±479","29.3%","±3.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,063","±392","24.8%","±2.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.44","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.07","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","40,055","±251","40,055","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","16,383","±546","40.9%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,915","±423","14.8%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,606","±335","4.0%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","11,541","±781","28.8%","±1.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,796","±547","7.0%","±1.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,814","±552","4.5%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","16,923","±819","16,923","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,410","±715","43.8%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,631","±462","39.2%","±3.3"
"        Separated","37,600","±1,670","1.3%","±0.1","314","±121","1.9%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","536","±167","3.2%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","2,032","±426","12.0%","±2.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","17,337","±603","17,337","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","6,325","±618","36.5%","±3.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,327","±424","36.5%","±2.3"
"        Separated","55,256","±1,859","1.8%","±0.1","416","±165","2.4%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,798","±307","10.4%","±1.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,471","±440","14.3%","±2.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","694","±333","694","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","529","±339","76.2%","±21.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","80","±48","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","70","±32","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±25","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","134","±63","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","10","±11","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","1,080","±515","1,080","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","212","±121","19.6%","±14.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","4","±6","0.4%","±0.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","85","±92","7.9%","±9.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","34","±28","3.1%","±3.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","89","±56","8.2%","±6.6"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","212","±121","212","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","193","±117","91.0%","±12.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","44","±40","20.8%","±19.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","9,845","±779","9,845","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","595","±239","6.0%","±2.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","771","±211","7.8%","±2.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,585","±488","36.4%","±3.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,742","±351","17.7%","±3.2"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,152","±446","32.0%","±4.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","27,619","±891","27,619","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,381","±319","5.0%","±1.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,869","±377","6.8%","±1.3"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","8,962","±967","32.4%","±3.1"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","6,360","±634","23.0%","±2.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","2,501","±370","9.1%","±1.3"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","4,391","±575","15.9%","±1.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,155","±326","7.8%","±1.1"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","24,369","±935","88.2%","±1.8"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","6,546","±742","23.7%","±2.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","33,004","±726","33,004","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","2,187","±362","6.6%","±1.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","41,320","±184","41,320","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","6,519","±698","15.8%","±1.7"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","8,672","±721","8,672","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","552","±175","6.4%","±1.9"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","27,268","±804","27,268","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","3,932","±566","14.4%","±2.0"
"    65 years and over","1,122,280","±664","1,122,280","(X)","5,380","±571","5,380","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","2,035","±332","37.8%","±4.4"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","41,331","±200","41,331","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","36,192","±758","87.6%","±1.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","5,139","±808","12.4%","±1.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","4,618","±731","11.2%","±1.8"
"                Same county","446,141","±8,933","6.4%","±0.1","3,079","±695","7.4%","±1.7"
"                Different county","354,693","±6,215","5.1%","±0.1","1,539","±420","3.7%","±1.0"
"                    Same state","205,752","±5,091","3.0%","±0.1","1,029","±375","2.5%","±0.9"
"                    Different state","148,941","±3,990","2.2%","±0.1","510","±219","1.2%","±0.5"
"            Abroad","61,536","±2,941","0.9%","±0.1","521","±328","1.3%","±0.8"
