"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02145!!Estimate","ZCTA5 02145!!Margin of Error","ZCTA5 02145!!Percent","ZCTA5 02145!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","11,349","±532","11,349","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,032","±345","35.5%","±2.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,282","±207","11.3%","±1.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,402","±318","12.4%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","100","±101","0.9%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,494","±353","22.0%","±2.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","7","±7","0.1%","±0.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,424","±286","12.5%","±2.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","229","±112","2.0%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,421","±397","30.1%","±3.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","520","±191","4.6%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,519","±338","13.4%","±2.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","602","±245","5.3%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,319","±264","20.4%","±2.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,911","±334","16.8%","±2.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.40","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.96","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
