"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01364!!Estimate","ZCTA5 01364!!Margin of Error","ZCTA5 01364!!Percent","ZCTA5 01364!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,021","±235","3,021","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,377","±150","45.6%","±5.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","417","±99","13.8%","±3.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","186","±82","6.2%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","8","±12","0.3%","±0.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","520","±134","17.2%","±4.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","28","±26","0.9%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","431","±125","14.3%","±3.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","212","±84","7.0%","±2.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","938","±187","31.0%","±5.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","188","±98","6.2%","±3.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","549","±148","18.2%","±4.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","336","±113","11.1%","±3.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","802","±115","26.5%","±4.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,182","±147","39.1%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.53","±0.19","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.34","±0.25","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,633","±56","7,633","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,021","±235","39.6%","±3.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,495","±176","19.6%","±2.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","175","±74","2.3%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,814","±232","23.8%","±3.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","937","±361","12.3%","±4.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","191","±106","2.5%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,923","±232","2,923","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","829","±141","28.4%","±4.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,573","±183","53.8%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","35","±31","1.2%","±1.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","96","±58","3.3%","±2.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","390","±125","13.3%","±4.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,507","±209","3,507","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","895","±226","25.5%","±5.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,715","±192","48.9%","±6.2"
"        Separated","55,256","±1,859","1.8%","±0.1","82","±52","2.3%","±1.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","307","±92","8.8%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","508","±148","14.5%","±4.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","120","±117","120","(X)"
