"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02186!!Estimate","ZCTA5 02186!!Margin of Error","ZCTA5 02186!!Percent","ZCTA5 02186!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,797","±406","8,797","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,810","±306","66.0%","±4.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,128","±269","35.6%","±3.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","489","±228","5.6%","±2.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","217","±146","2.5%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","859","±328","9.8%","±3.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","8","±13","0.1%","±0.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","463","±171","5.3%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","207","±101","2.4%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,639","±253","18.6%","±2.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","293","±108","3.3%","±1.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","891","±216","10.1%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","804","±208","9.1%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,870","±293","44.0%","±4.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,078","±348","35.0%","±3.5"
"        Average household size","2.48","±0.01","(X)","(X)","3.02","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.36","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","26,573","±338","26,573","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,797","±406","33.1%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,844","±324","22.0%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","482","±224","1.8%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,360","±455","35.2%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,153","±294","4.3%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","937","±379","3.5%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","10,309","±434","10,309","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,246","±407","31.5%","±3.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,115","±322","59.3%","±3.4"
"        Separated","37,600","±1,670","1.3%","±0.1","45","±56","0.4%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","177","±94","1.7%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","726","±320","7.0%","±3.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","12,172","±421","12,172","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","4,206","±529","34.6%","±3.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,048","±400","49.7%","±3.6"
"        Separated","55,256","±1,859","1.8%","±0.1","125","±85","1.0%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","696","±188","5.7%","±1.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,097","±249","9.0%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","303","±113","303","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±25","0.0%","±12.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±10","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","43","±16","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±26","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","37","±32","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","68","±30","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","409","±213","409","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","5","±8","1.2%","±2.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±9.3"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±9.3"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±9.3"
"            5 or more years","13,647","±1,024","10.9%","±0.8","5","±8","1.2%","±2.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","5","±8","5","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±25","0.0%","±100.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","5","±8","100.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","9,372","±634","9,372","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","571","±131","6.1%","±1.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","469","±182","5.0%","±1.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,529","±413","37.7%","±3.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,725","±302","18.4%","±3.1"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,078","±398","32.8%","±3.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","17,893","±565","17,893","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","389","±151","2.2%","±0.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","367","±112","2.1%","±0.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,800","±739","15.6%","±4.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,637","±300","9.1%","±1.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,099","±293","6.1%","±1.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","5,485","±460","30.7%","±2.8"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","6,116","±670","34.2%","±3.4"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","17,137","±563","95.8%","±1.2"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","11,601","±725","64.8%","±3.9"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","21,122","±437","21,122","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","966","±269","4.6%","±1.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","28,287","±73","28,287","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","1,944","±359","6.9%","±1.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","7,292","±439","7,292","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","219","±146","3.0%","±2.0"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","16,669","±600","16,669","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","660","±196","4.0%","±1.2"
"    65 years and over","1,122,280","±664","1,122,280","(X)","4,326","±482","4,326","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,065","±215","24.6%","±5.0"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","28,145","±116","28,145","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","25,798","±605","91.7%","±2.1"
