"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01237!!Estimate","ZCTA5 01237!!Margin of Error","ZCTA5 01237!!Percent","ZCTA5 01237!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,019","±144","1,019","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","461","±111","45.2%","±9.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","145","±56","14.2%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","174","±114","17.1%","±10.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","86","±95","8.4%","±9.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","106","±51","10.4%","±4.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±3.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","87","±47","8.5%","±4.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","55","±33","5.4%","±3.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","278","±109","27.3%","±9.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","68","±61","6.7%","±6.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","204","±103","20.0%","±9.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","136","±93","13.3%","±8.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","307","±104","30.1%","±9.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","479","±132","47.0%","±11.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.28","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.81","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,320","±318","2,320","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,019","±144","43.9%","±3.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","467","±115","20.1%","±4.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","147","±94","6.3%","±3.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","603","±154","26.0%","±4.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","80","±44","3.4%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","4","±5","0.2%","±0.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","855","±133","855","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","274","±112","32.0%","±11.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","501","±120","58.6%","±10.4"
"        Separated","37,600","±1,670","1.3%","±0.1","17","±26","2.0%","±3.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","24","±24","2.8%","±2.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","39","±24","4.6%","±3.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,008","±163","1,008","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","157","±86","15.6%","±8.2"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","476","±110","47.2%","±10.3"
"        Separated","55,256","±1,859","1.8%","±0.1","44","±70","4.4%","±6.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","100","±59","9.9%","±5.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","231","±124","22.9%","±11.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","17","±12","17","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","9","±9","52.9%","±40.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","43","±45","(X)","(X)"
