"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01867!!Estimate","ZCTA5 01867!!Margin of Error","ZCTA5 01867!!Percent","ZCTA5 01867!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,297","±376","9,297","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,027","±277","64.8%","±2.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,939","±188","31.6%","±2.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","387","±114","4.2%","±1.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","88","±72","0.9%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","906","±231","9.7%","±2.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","79","±95","0.8%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","626","±195","6.7%","±2.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","228","±95","2.5%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,977","±337","21.3%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","147","±70","1.6%","±0.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,403","±279","15.1%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","960","±239","10.3%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,423","±205","36.8%","±2.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,216","±378","34.6%","±3.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.73","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.21","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","25,341","±87","25,341","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,297","±376","36.7%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","6,118","±281","24.1%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","390","±116","1.5%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,201","±435","32.4%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","918","±375","3.6%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","417","±208","1.6%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,769","±378","9,769","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,465","±358","25.2%","±3.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,531","±317","66.9%","±3.5"
"        Separated","37,600","±1,670","1.3%","±0.1","53","±64","0.5%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","177","±91","1.8%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","543","±174","5.6%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,730","±389","10,730","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,653","±381","24.7%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,274","±256","58.5%","±3.4"
"        Separated","55,256","±1,859","1.8%","±0.1","131","±86","1.2%","±0.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","880","±207","8.2%","±1.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","792","±173","7.4%","±1.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","402","±137","402","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","39","±41","9.7%","±9.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","17","±18","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","74","±26","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±49","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","83","±40","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","90","±45","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","476","±340","476","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","27","±33","5.7%","±8.6"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±8.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±8.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","11","±20","2.3%","±5.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","16","±26","3.4%","±6.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","27","±33","27","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","27","±33","100.0%","±63.3"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±25","0.0%","±63.3"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","6,300","±471","6,300","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","522","±172","8.3%","±2.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","183","±85","2.9%","±1.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","3,047","±455","48.4%","±5.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,729","±303","27.4%","±5.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","819","±205","13.0%","±3.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","17,990","±368","17,990","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","338","±157","1.9%","±0.9"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","241","±110","1.3%","±0.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,589","±392","14.4%","±2.1"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,057","±328","11.4%","±1.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,018","±251","5.7%","±1.3"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","6,346","±500","35.3%","±2.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","5,401","±533","30.0%","±3.0"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","17,411","±402","96.8%","±1.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","11,747","±538","65.3%","±2.9"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","19,335","±349","19,335","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","987","±262","5.1%","±1.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","25,376","±85","25,376","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","2,188","±468","8.6%","±1.9"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","6,176","±347","6,176","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","289","±145","4.7%","±2.3"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","14,509","±485","14,509","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","594","±220","4.1%","±1.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","4,691","±565","4,691","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,305","±361","27.8%","±7.0"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","25,151","±133","25,151","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","23,578","±497","93.7%","±1.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,573","±469","6.3%","±1.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,550","±469","6.2%","±1.9"
