"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01960!!Estimate","ZCTA5 01960!!Margin of Error","ZCTA5 01960!!Percent","ZCTA5 01960!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","22,681","±575","22,681","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","10,772","±535","47.5%","±2.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,805","±402","16.8%","±1.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,121","±325","4.9%","±1.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","414","±198","1.8%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,886","±537","17.1%","±2.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","70","±47","0.3%","±0.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,904","±466","12.8%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","1,272","±331","5.6%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","6,902","±616","30.4%","±2.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","939","±253","4.1%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","4,482","±537","19.8%","±2.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","2,998","±490","13.2%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","5,571","±414","24.6%","±2.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","9,114","±623","40.2%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.36","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.99","±0.07","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","53,529","±159","53,529","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","22,681","±575","42.4%","±1.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","10,355","±534","19.3%","±1.0"
