"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02139!!Estimate","ZCTA5 02139!!Margin of Error","ZCTA5 02139!!Percent","ZCTA5 02139!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","15,263","±585","15,263","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,789","±415","31.4%","±2.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,834","±250","12.0%","±1.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,599","±290","10.5%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","75","±52","0.5%","±0.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","4,007","±444","26.3%","±2.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","48","±41","0.3%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,398","±358","15.7%","±2.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","501","±163","3.3%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,868","±524","31.9%","±3.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","514","±204","3.4%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,647","±419","17.3%","±2.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","872","±178","5.7%","±1.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,713","±308","17.8%","±2.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,149","±384","20.6%","±2.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.19","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.86","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","33,463","±1,092","33,463","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","15,263","±585","45.6%","±1.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,843","±388","14.5%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,641","±341","4.9%","±1.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,983","±461","17.9%","±1.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,182","±407","3.5%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","4,551","±557","13.6%","±1.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","18,086","±900","18,086","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","11,962","±860","66.1%","±2.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,510","±453","30.5%","±2.4"
"        Separated","37,600","±1,670","1.3%","±0.1","14","±21","0.1%","±0.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","91","±55","0.5%","±0.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","509","±124","2.8%","±0.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","17,421","±798","17,421","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","10,122","±826","58.1%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,281","±460","30.3%","±2.7"
"        Separated","55,256","±1,859","1.8%","±0.1","283","±133","1.6%","±0.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","763","±214","4.4%","±1.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","972","±178","5.6%","±1.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","472","±167","472","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","127","±102","26.9%","±20.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","13","±11","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","36","±13","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±27","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","36","±16","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","52","±27","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","340","±184","340","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","36","±48","10.6%","±14.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","1","±4","0.3%","±1.2"
"            1 or 2 years","6,316","±677","5.0%","±0.5","8","±12","2.4%","±3.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±28","0.0%","±11.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","27","±46","7.9%","±13.6"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","36","±48","36","(X)"
