"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01230!!Estimate","ZCTA5 01230!!Margin of Error","ZCTA5 01230!!Percent","ZCTA5 01230!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,793","±319","3,793","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,785","±218","47.1%","±6.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","590","±181","15.6%","±4.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","152","±61","4.0%","±1.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","25","±22","0.7%","±0.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","552","±181","14.6%","±4.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","76","±66","2.0%","±1.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","443","±166","11.7%","±4.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","46","±28","1.2%","±0.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,304","±280","34.4%","±5.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","230","±122","6.1%","±3.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","950","±258","25.0%","±5.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","656","±242","17.3%","±5.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,010","±202","26.6%","±5.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,449","±273","38.2%","±5.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.17","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.87","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","8,223","±613","8,223","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,793","±319","46.1%","±3.2"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,808","±221","22.0%","±2.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","156","±67","1.9%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,133","±356","25.9%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","219","±120","2.7%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","114","±81","1.4%","±1.0"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,599","±355","3,599","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,317","±270","36.6%","±5.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,893","±230","52.6%","±5.5"
"        Separated","37,600","±1,670","1.3%","±0.1","63","±79","1.8%","±2.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","52","±37","1.4%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","274","±94","7.6%","±2.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,116","±311","4,116","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,178","±260","28.6%","±5.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,919","±244","46.6%","±6.1"
"        Separated","55,256","±1,859","1.8%","±0.1","50","±45","1.2%","±1.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","352","±162","8.6%","±3.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","617","±185","15.0%","±4.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","85","±61","85","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","25","±24","29.4%","±29.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","26","±24","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","50","±35","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±99","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","140","±93","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±54","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","156","±95","156","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","83","±82","53.2%","±31.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±22.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","43","±58","27.6%","±31.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","2","±3","1.3%","±2.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","38","±59","24.4%","±30.6"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","83","±82","83","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","58","±64","69.9%","±26.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","43","±59","51.8%","±50.6"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","2,070","±345","2,070","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","165","±118","8.0%","±5.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","119","±77","5.7%","±3.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","710","±183","34.3%","±6.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","329","±134","15.9%","±5.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","747","±196","36.1%","±7.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","6,484","±485","6,484","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","77","±41","1.2%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","220","±100","3.4%","±1.5"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,807","±460","27.9%","±5.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","791","±172","12.2%","±2.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","707","±253","10.9%","±3.9"
