"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01534!!Estimate","ZCTA5 01534!!Margin of Error","ZCTA5 01534!!Percent","ZCTA5 01534!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,367","±246","2,367","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,582","±219","66.8%","±6.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","579","±146","24.5%","±5.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","73","±54","3.1%","±2.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±19","0.0%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","278","±118","11.7%","±4.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","19","±29","0.8%","±1.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","213","±113","9.0%","±4.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","29","±27","1.2%","±1.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","434","±144","18.3%","±5.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","36","±36","1.5%","±1.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","246","±92","10.4%","±3.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","164","±89","6.9%","±3.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","758","±177","32.0%","±6.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","716","±150","30.2%","±5.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.54","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.90","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,009","±679","6,009","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,367","±246","39.4%","±2.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,539","±218","25.6%","±2.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","74","±52","1.2%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,730","±343","28.8%","±3.9"
"        Other relatives","394,812","±8,541","5.9%","±0.1","189","±122","3.1%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","110","±81","1.8%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,527","±318","2,527","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","692","±194","27.4%","±5.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,607","±233","63.6%","±6.1"
"        Separated","37,600","±1,670","1.3%","±0.1","10","±15","0.4%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","27","±31","1.1%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","191","±106","7.6%","±4.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,588","±310","2,588","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","453","±163","17.5%","±5.5"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,644","±232","63.5%","±7.3"
"        Separated","55,256","±1,859","1.8%","±0.1","10","±15","0.4%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","323","±135","12.5%","±4.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","158","±74","6.1%","±2.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","94","±72","94","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","19","±23","20.2%","±25.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","43","±50","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","76","±59","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±155","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","282","±228","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","26","±32","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","162","±131","162","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","73","±101","45.1%","±45.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","0.0%","±21.7"
"            1 or 2 years","6,316","±677","5.0%","±0.5","38","±63","23.5%","±31.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","0.0%","±21.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","35","±56","21.6%","±28.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","73","±101","73","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","56","±79","76.7%","±24.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","35","±56","47.9%","±48.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,428","±298","1,428","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","32","±34","2.2%","±2.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","39","±39","2.7%","±2.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","622","±199","43.6%","±9.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","420","±145","29.4%","±8.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","315","±144","22.1%","±9.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","4,488","±457","4,488","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","63","±63","1.4%","±1.4"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","282","±129","6.3%","±2.9"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,033","±257","23.0%","±5.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","711","±228","15.8%","±4.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","441","±175","9.8%","±3.5"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,186","±235","26.4%","±4.8"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","772","±228","17.2%","±5.0"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","4,143","±465","92.3%","±3.2"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","1,958","±318","43.6%","±6.3"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","4,870","±517","4,870","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","348","±134","7.1%","±2.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","6,028","±677","6,028","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","849","±220","14.1%","±3.5"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,294","±276","1,294","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","71","±41","5.5%","±3.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","3,686","±461","3,686","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","356","±132","9.7%","±3.5"
