"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02127!!Estimate","ZCTA5 02127!!Margin of Error","ZCTA5 02127!!Percent","ZCTA5 02127!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","16,799","±719","16,799","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,540","±539","27.0%","±2.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,504","±289","9.0%","±1.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,767","±306","10.5%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","95","±64","0.6%","±0.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","4,283","±468","25.5%","±2.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","72","±73","0.4%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,826","±430","16.8%","±2.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","387","±137","2.3%","±0.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","6,209","±508","37.0%","±2.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","673","±145","4.0%","±0.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","3,182","±449","18.9%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","779","±239","4.6%","±1.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,541","±351","15.1%","±2.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,357","±304","14.0%","±1.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.08","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.76","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","34,918","±1,800","34,918","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","16,799","±719","48.1%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,531","±532","13.0%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,809","±307","5.2%","±0.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,416","±708","15.5%","±1.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,338","±358","3.8%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","5,025","±632","14.4%","±1.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","14,633","±952","14,633","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","8,530","±789","58.3%","±3.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,945","±591","33.8%","±3.4"
"        Separated","37,600","±1,670","1.3%","±0.1","167","±104","1.1%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","247","±110","1.7%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","744","±259","5.1%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","16,904","±1,004","16,904","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","9,774","±827","57.8%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","4,960","±519","29.3%","±2.8"
"        Separated","55,256","±1,859","1.8%","±0.1","437","±201","2.6%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","716","±227","4.2%","±1.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,017","±220","6.0%","±1.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","430","±136","430","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","40","±41","9.3%","±8.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","4","±4","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","34","±11","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±89","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","30","±12","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","47","±21","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","271","±108","271","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","153","±89","56.5%","±22.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","30","±45","11.1%","±16.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±28","0.0%","±13.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","13","±23","4.8%","±8.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","110","±72","40.6%","±19.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","153","±89","153","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","107","±59","69.9%","±32.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","21","±23","13.7%","±15.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","5,381","±774","5,381","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","438","±206","8.1%","±3.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","169","±83","3.1%","±1.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,618","±327","30.1%","±5.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","626","±160","11.6%","±2.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","2,530","±609","47.0%","±7.1"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","28,596","±1,472","28,596","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,120","±350","3.9%","±1.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","886","±240","3.1%","±0.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,849","±501","13.5%","±1.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,217","±311","7.8%","±1.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","736","±191","2.6%","±0.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","12,693","±1,117","44.4%","±2.9"
