"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02048!!Estimate","ZCTA5 02048!!Margin of Error","ZCTA5 02048!!Percent","ZCTA5 02048!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,707","±413","8,707","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,997","±398","57.4%","±4.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,152","±231","24.7%","±2.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","562","±179","6.5%","±2.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","244","±134","2.8%","±1.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,079","±273","12.4%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","44","±42","0.5%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","729","±227","8.4%","±2.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","148","±88","1.7%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,069","±380","23.8%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","342","±180","3.9%","±2.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,155","±326","13.3%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","596","±287","6.8%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,092","±282","35.5%","±3.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,315","±340","26.6%","±3.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.72","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.15","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","23,723","±28","23,723","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,707","±413","36.7%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,041","±387","21.2%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","586","±173","2.5%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","7,365","±479","31.0%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,439","±520","6.1%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","585","±326","2.5%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,356","±481","9,356","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,204","±580","34.2%","±5.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,198","±427","55.6%","±5.2"
"        Separated","37,600","±1,670","1.3%","±0.1","30","±34","0.3%","±0.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","155","±103","1.7%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","769","±257","8.2%","±2.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,062","±498","10,062","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,541","±368","25.3%","±3.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,260","±405","52.3%","±3.9"
"        Separated","55,256","±1,859","1.8%","±0.1","55","±57","0.5%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","711","±194","7.1%","±1.9"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,495","±381","14.9%","±3.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","221","±84","221","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","42","±39","19.0%","±18.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","15","±14","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","42","±16","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±59","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","93","±40","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","14","±15","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","513","±188","513","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","59","±56","11.5%","±11.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±7.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±7.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±7.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","59","±56","11.5%","±11.1"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","59","±56","59","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","45","±51","76.3%","±38.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","14","±22","23.7%","±38.6"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","5,795","±571","5,795","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","339","±119","5.8%","±2.1"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","120","±71","2.1%","±1.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,605","±414","45.0%","±6.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,533","±453","26.5%","±7.1"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,198","±301","20.7%","±4.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","16,569","±465","16,569","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","105","±97","0.6%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","653","±338","3.9%","±2.1"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,040","±415","18.3%","±2.5"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,343","±434","14.1%","±2.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,607","±319","9.7%","±1.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","5,075","±573","30.6%","±3.5"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","3,746","±536","22.6%","±3.0"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","15,811","±589","95.4%","±2.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","8,821","±676","53.2%","±3.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","18,561","±388","18,561","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,004","±222","5.4%","±1.2"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","23,724","±36","23,724","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","2,366","±440","10.0%","±1.9"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","5,188","±385","5,188","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","351","±225","6.8%","±4.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","15,447","±437","15,447","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,161","±338","7.5%","±2.1"
"    65 years and over","1,122,280","±664","1,122,280","(X)","3,089","±430","3,089","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","854","±271","27.6%","±7.3"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","23,605","±82","23,605","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","21,472","±467","91.0%","±1.9"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","2,133","±454","9.0%","±1.9"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,883","±421","8.0%","±1.8"
"                Same county","446,141","±8,933","6.4%","±0.1","913","±322","3.9%","±1.4"
"                Different county","354,693","±6,215","5.1%","±0.1","970","±302","4.1%","±1.3"
"                    Same state","205,752","±5,091","3.0%","±0.1","630","±242","2.7%","±1.0"
