"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01760!!Estimate","ZCTA5 01760!!Margin of Error","ZCTA5 01760!!Percent","ZCTA5 01760!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","15,153","±572","15,153","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","8,451","±371","55.8%","±3.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,910","±277","25.8%","±2.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","678","±217","4.5%","±1.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","73","±55","0.5%","±0.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,038","±408","13.4%","±2.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","146","±84","1.0%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,689","±408","11.1%","±2.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","544","±240","3.6%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,986","±425","26.3%","±2.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","533","±149","3.5%","±1.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,714","±405","17.9%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,229","±229","8.1%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,809","±280","31.7%","±2.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,562","±429","30.1%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.38","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.95","±0.08","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","35,995","±175","35,995","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","15,153","±572","42.1%","±1.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","8,346","±341","23.2%","±0.9"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","698","±236","1.9%","±0.7"
