"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02119!!Estimate","ZCTA5 02119!!Margin of Error","ZCTA5 02119!!Percent","ZCTA5 02119!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","11,953","±619","11,953","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,370","±344","19.8%","±2.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","974","±240","8.1%","±1.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","677","±238","5.7%","±2.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","269","±205","2.3%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,256","±497","27.2%","±3.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","135","±82","1.1%","±0.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,280","±477","19.1%","±3.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","588","±251","4.9%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","5,650","±522","47.3%","±4.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,265","±274","10.6%","±2.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,810","±419","23.5%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,040","±227","8.7%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,002","±443","25.1%","±3.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,303","±434","27.6%","±3.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.32","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.25","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","27,755","±1,701","27,755","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","11,953","±619","43.1%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,427","±359","8.7%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","653","±210","2.4%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,508","±1,040","30.7%","±2.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,940","±411","7.0%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,274","±505","8.2%","±1.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","10,943","±905","10,943","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","6,155","±680","56.2%","±4.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,173","±497","29.0%","±3.6"
"        Separated","37,600","±1,670","1.3%","±0.1","360","±138","3.3%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","265","±118","2.4%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","990","±275","9.0%","±2.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","12,624","±837","12,624","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","7,164","±696","56.7%","±3.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,050","±396","24.2%","±2.8"
"        Separated","55,256","±1,859","1.8%","±0.1","471","±148","3.7%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","630","±187","5.0%","±1.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,309","±370","10.4%","±3.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","147","±95","147","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","18","±20","12.2%","±14.7"
