"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01901!!Estimate","ZCTA5 01901!!Margin of Error","ZCTA5 01901!!Percent","ZCTA5 01901!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,194","±254","1,194","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","158","±90","13.2%","±8.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","69","±67","5.8%","±5.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","121","±95","10.1%","±7.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","43","±58","3.6%","±4.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","495","±211","41.5%","±12.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","32","±54","2.7%","±4.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","351","±122","29.4%","±9.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","125","±67","10.5%","±5.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","420","±146","35.2%","±11.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","82","±75","6.9%","±6.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","304","±127","25.5%","±10.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","184","±83","15.4%","±6.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","243","±127","20.4%","±9.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","446","±128","37.4%","±11.0"
"        Average household size","2.48","±0.01","(X)","(X)","1.86","±0.28","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.95","±0.52","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,217","±584","2,217","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,194","±254","53.9%","±8.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","174","±99","7.8%","±4.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","123","±104","5.5%","±4.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","555","±319","25.0%","±9.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","171","±131","7.7%","±5.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±1.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,027","±296","1,027","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","594","±198","57.8%","±12.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","237","±122","23.1%","±10.3"
"        Separated","37,600","±1,670","1.3%","±0.1","35","±55","3.4%","±5.4"
"        Widowed","65,484","±1,934","2.3%","±0.1","16","±27","1.6%","±2.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","145","±177","14.1%","±15.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,027","±302","1,027","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","544","±263","53.0%","±14.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","207","±105","20.2%","±12.0"
"        Separated","55,256","±1,859","1.8%","±0.1","63","±69","6.1%","±6.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","190","±89","18.5%","±8.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","23","±42","2.2%","±4.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","52","±61","52","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","23","±42","44.2%","±55.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","46","±79","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","88","±109","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±263","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","211","±278","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±166","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","654","±390","654","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","17","±27","2.6%","±4.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","0","±13","0.0%","±5.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","144","±143","22.0%","±18.6"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","147","±96","22.5%","±12.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","346","±291","52.9%","±25.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,814","±429","1,814","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","331","±162","18.2%","±8.4"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","39","±37","2.1%","±2.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","458","±183","25.2%","±10.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","438","±203","24.1%","±8.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","73","±58","4.0%","±3.2"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","290","±161","16.0%","±8.5"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","185","±157","10.2%","±7.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,444","±392","79.6%","±8.5"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","475","±213","26.2%","±8.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,873","±436","1,873","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","32","±36","1.7%","±2.0"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","2,291","±582","2,291","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","519","±190","22.7%","±8.6"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","418","±257","418","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","0","±13","0.0%","±9.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","1,412","±415","1,412","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","265","±131","18.8%","±9.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","461","±131","461","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","254","±120","55.1%","±17.0"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","2,235","±564","2,235","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","1,951","±556","87.3%","±6.5"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","284","±140","12.7%","±6.5"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","267","±138","11.9%","±6.4"
"                Same county","446,141","±8,933","6.4%","±0.1","204","±125","9.1%","±5.8"
"                Different county","354,693","±6,215","5.1%","±0.1","63","±61","2.8%","±2.7"
"                    Same state","205,752","±5,091","3.0%","±0.1","52","±54","2.3%","±2.5"
"                    Different state","148,941","±3,990","2.2%","±0.1","11","±26","0.5%","±1.1"
"            Abroad","61,536","±2,941","0.9%","±0.1","17","±27","0.8%","±1.2"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","2,291","±582","2,291","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","753","±214","32.9%","±10.1"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","705","±219","30.8%","±10.3"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","480","±215","21.0%","±9.3"
"                Different state","1,398,292","±9,460","20.0%","±0.1","225","±100","9.8%","±4.9"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","48","±55","2.1%","±2.4"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","1,538","±546","67.1%","±10.1"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","1,538","±546","1,538","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","694","±358","45.1%","±17.8"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","844","±405","54.9%","±17.8"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","1,586","±556","1,586","(X)"
"        Native","209,292","±4,176","209,292","(X)","48","±55","48","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","47","±55","97.9%","±11.9"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","1","±4","2.1%","±11.9"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","1,538","±546","1,538","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","887","±417","57.7%","±13.4"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","651","±266","42.3%","±13.4"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","1,538","±546","1,538","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","191","±117","12.4%","±8.5"
"        Asia","372,717","±3,581","30.8%","±0.3","22","±34","1.4%","±2.2"
"        Africa","113,823","±3,313","9.4%","±0.3","451","±336","29.3%","±18.5"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±2.6"
"        Latin America","456,601","±7,328","37.7%","±0.5","874","±434","56.8%","±18.4"
"        Northern America","28,855","±1,370","2.4%","±0.1","0","±13","0.0%","±2.6"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","2,203","±562","2,203","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","569","±183","25.8%","±10.0"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","1,634","±566","74.2%","±10.0"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","870","±295","39.5%","±9.5"
"        Spanish","623,189","±4,858","9.4%","±0.1","916","±459","41.6%","±15.5"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","598","±280","27.1%","±9.9"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","493","±333","22.4%","±12.5"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","194","±118","8.8%","±5.4"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","0","±13","0.0%","±1.8"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","0","±13","0.0%","±1.8"
"        Other languages","99,560","±3,943","1.5%","±0.1","225","±221","10.2%","±9.9"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","78","±78","3.5%","±3.6"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","2,291","±582","2,291","(X)"
"        American","260,364","±6,504","3.7%","±0.1","0","±13","0.0%","±1.7"
"        Arab","72,487","±3,641","1.0%","±0.1","0","±13","0.0%","±1.7"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±13","0.0%","±1.7"
"        Danish","14,346","±1,162","0.2%","±0.1","0","±13","0.0%","±1.7"
"        Dutch","34,354","±1,922","0.5%","±0.1","0","±13","0.0%","±1.7"
"        English","655,283","±8,406","9.4%","±0.1","80","±66","3.5%","±3.1"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","38","±44","1.7%","±1.9"
"        French Canadian","235,524","±4,384","3.4%","±0.1","49","±52","2.1%","±2.4"
"        German","387,135","±7,027","5.5%","±0.1","15","±19","0.7%","±0.8"
"        Greek","76,566","±3,218","1.1%","±0.1","17","±40","0.7%","±1.7"
"        Hungarian","19,068","±1,432","0.3%","±0.1","0","±13","0.0%","±1.7"
"        Irish","1,345,219","±11,619","19.2%","±0.2","50","±37","2.2%","±1.7"
"        Italian","815,794","±9,186","11.7%","±0.1","20","±27","0.9%","±1.3"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","28","±48","1.2%","±2.1"
"        Norwegian","35,032","±1,997","0.5%","±0.1","0","±13","0.0%","±1.7"
"        Polish","283,050","±4,814","4.0%","±0.1","27","±44","1.2%","±2.0"
"        Portuguese","270,183","±5,260","3.9%","±0.1","14","±33","0.6%","±1.4"
"        Russian","91,511","±3,161","1.3%","±0.1","66","±69","2.9%","±3.0"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","0","±13","0.0%","±1.7"
"        Scottish","134,503","±3,385","1.9%","±0.1","58","±63","2.5%","±2.9"
"        Slovak","7,069","±828","0.1%","±0.1","0","±13","0.0%","±1.7"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","479","±341","20.9%","±13.0"
"        Swedish","102,031","±2,873","1.5%","±0.1","18","±30","0.8%","±1.3"
"        Swiss","10,126","±912","0.1%","±0.1","0","±13","0.0%","±1.7"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","0","±13","0.0%","±1.7"
"        Welsh","23,388","±1,506","0.3%","±0.1","0","±13","0.0%","±1.7"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","100","±134","4.4%","±5.9"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,194","±254","1,194","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","1,027","±241","86.0%","±6.7"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","880","±237","73.7%","±9.8"
