"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01379!!Estimate","ZCTA5 01379!!Margin of Error","ZCTA5 01379!!Percent","ZCTA5 01379!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","381","±63","381","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","191","±54","50.1%","±9.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","66","±40","17.3%","±9.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","41","±23","10.8%","±5.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","10","±9","2.6%","±2.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","61","±28","16.0%","±6.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","7","±11","1.8%","±2.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","46","±24","12.1%","±6.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","21","±17","5.5%","±4.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","88","±29","23.1%","±7.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","10","±12","2.6%","±3.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","58","±25","15.2%","±6.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","29","±18","7.6%","±4.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","96","±42","25.2%","±9.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","148","±41","38.8%","±9.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.13","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.55","±0.24","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","812","±139","812","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","381","±63","46.9%","±4.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","191","±51","23.5%","±4.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","44","±26","5.4%","±3.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","154","±46","19.0%","±4.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","15","±10","1.8%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","27","±27","3.3%","±3.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","370","±74","370","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","124","±42","33.5%","±9.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","202","±55","54.6%","±10.0"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±10.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±10.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","44","±22","11.9%","±5.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","353","±64","353","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","80","±27","22.7%","±6.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","187","±51","53.0%","±9.3"
"        Separated","55,256","±1,859","1.8%","±0.1","20","±17","5.7%","±4.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","32","±25","9.1%","±6.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","34","±17","9.6%","±4.9"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±361","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±239","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±775","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±611","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±324","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","4","±5","4","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","2","±4","50.0%","±50.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","2","±4","50.0%","±50.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±100.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±100.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±100.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","2","±4","2","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","0.0%","±100.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","0.0%","±100.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","128","±44","128","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","3","±4","2.3%","±3.0"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","10","±13","7.8%","±10.0"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","55","±26","43.0%","±16.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","44","±31","34.4%","±18.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","16","±13","12.5%","±9.6"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","680","±117","680","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","0","±13","0.0%","±5.7"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","21","±13","3.1%","±2.0"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","171","±73","25.1%","±9.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","102","±31","15.0%","±4.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","62","±34","9.1%","±4.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","167","±47","24.6%","±6.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","157","±62","23.1%","±7.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","659","±117","96.9%","±2.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","324","±77","47.6%","±8.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","701","±116","701","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","38","±24","5.4%","±3.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","819","±138","819","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","137","±57","16.7%","±6.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","118","±42","118","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","0","±13","0.0%","±28.1"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","492","±96","492","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","62","±24","12.6%","±5.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","209","±68","209","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","75","±54","35.9%","±18.6"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","819","±138","819","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","775","±140","94.6%","±3.1"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","44","±24","5.4%","±3.1"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","44","±24","5.4%","±3.1"
"                Same county","446,141","±8,933","6.4%","±0.1","22","±20","2.7%","±2.4"
"                Different county","354,693","±6,215","5.1%","±0.1","22","±13","2.7%","±1.8"
"                    Same state","205,752","±5,091","3.0%","±0.1","22","±13","2.7%","±1.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","0","±13","0.0%","±4.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±13","0.0%","±4.8"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","819","±138","819","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","802","±138","97.9%","±1.7"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","770","±137","94.0%","±4.1"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","496","±104","60.6%","±7.8"
"                Different state","1,398,292","±9,460","20.0%","±0.1","274","±73","33.5%","±6.6"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","32","±30","3.9%","±3.7"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","17","±14","2.1%","±1.7"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","17","±14","17","(X)"
