"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01505!!Estimate","ZCTA5 01505!!Margin of Error","ZCTA5 01505!!Percent","ZCTA5 01505!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,834","±91","1,834","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,276","±112","69.6%","±5.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","460","±74","25.1%","±4.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","96","±48","5.2%","±2.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","67","±47","3.7%","±2.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","189","±85","10.3%","±4.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","7","±11","0.4%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","159","±79","8.7%","±4.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","52","±55","2.8%","±3.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","273","±77","14.9%","±4.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","56","±38","3.1%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","158","±63","8.6%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","91","±52","5.0%","±2.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","590","±79","32.2%","±4.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","590","±97","32.2%","±4.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.61","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.89","±0.16","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,793","±26","4,793","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,834","±91","38.3%","±1.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,294","±113","27.0%","±2.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","107","±52","2.2%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,403","±133","29.3%","±2.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","86","±58","1.8%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","69","±55","1.4%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,930","±104","1,930","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","488","±112","25.3%","±5.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,295","±116","67.1%","±6.3"
"        Separated","37,600","±1,670","1.3%","±0.1","17","±26","0.9%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","32","±50","1.7%","±2.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","98","±58","5.1%","±3.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,079","±101","2,079","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","521","±122","25.1%","±5.2"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,322","±110","63.6%","±5.9"
"        Separated","55,256","±1,859","1.8%","±0.1","10","±16","0.5%","±0.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","105","±52","5.1%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","121","±55","5.8%","±2.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","72","±41","72","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","4","±6","5.6%","±10.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","8","±13","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","69","±39","(X)","(X)"
