"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01081!!Estimate","ZCTA5 01081!!Margin of Error","ZCTA5 01081!!Percent","ZCTA5 01081!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","708","±79","708","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","397","±73","56.1%","±7.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","180","±57","25.4%","±7.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","72","±31","10.2%","±4.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","27","±25","3.8%","±3.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","130","±51","18.4%","±6.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","3","±4","0.4%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","107","±46","15.1%","±6.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","21","±12","3.0%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","109","±36","15.4%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","4","±5","0.6%","±0.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","71","±33","10.0%","±4.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","34","±22","4.8%","±3.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","229","±61","32.3%","±7.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","189","±50","26.7%","±6.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.47","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.92","±0.23","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,748","±231","1,748","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","708","±79","40.5%","±3.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","374","±66","21.4%","±2.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","77","±33","4.4%","±1.9"
"        Child","1,898,296","±5,188","28.1%","±0.1","493","±124","28.2%","±4.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","30","±21","1.7%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","66","±45","3.8%","±2.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","721","±88","721","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","225","±56","31.2%","±6.4"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","403","±72","55.9%","±7.2"
"        Separated","37,600","±1,670","1.3%","±0.1","9","±8","1.2%","±1.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","10","±9","1.4%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","74","±28","10.3%","±3.9"
