"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01432!!Estimate","ZCTA5 01432!!Margin of Error","ZCTA5 01432!!Percent","ZCTA5 01432!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,560","±236","3,560","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,510","±235","42.4%","±6.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","680","±177","19.1%","±5.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","289","±133","8.1%","±3.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","37","±42","1.0%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","651","±183","18.3%","±5.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","47","±66","1.3%","±1.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","557","±153","15.6%","±4.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","157","±84","4.4%","±2.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,110","±289","31.2%","±7.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","150","±141","4.2%","±4.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","792","±255","22.2%","±6.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","365","±200","10.3%","±5.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","984","±188","27.6%","±6.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","935","±216","26.3%","±5.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.22","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.94","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,912","±264","7,912","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,560","±236","45.0%","±2.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,494","±237","18.9%","±2.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","291","±137","3.7%","±1.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,907","±250","24.1%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","364","±177","4.6%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","296","±150","3.7%","±1.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,330","±282","3,330","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,424","±277","42.8%","±7.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,592","±262","47.8%","±7.1"
"        Separated","37,600","±1,670","1.3%","±0.1","36","±39","1.1%","±1.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","49","±47","1.5%","±1.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","229","±128","6.9%","±3.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,341","±267","3,341","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,156","±260","34.6%","±7.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,488","±228","44.5%","±7.9"
"        Separated","55,256","±1,859","1.8%","±0.1","73","±67","2.2%","±2.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","206","±128","6.2%","±3.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","418","±176","12.5%","±4.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","67","±56","67","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","0.0%","±40.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±40","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","41","±36","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±556","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","46","±57","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","38","±47","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","107","±77","107","(X)"
