"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01103!!Estimate","ZCTA5 01103!!Margin of Error","ZCTA5 01103!!Percent","ZCTA5 01103!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,434","±163","1,434","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","123","±69","8.6%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","16","±30","1.1%","±2.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","121","±75","8.4%","±5.2"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±2.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","364","±103","25.4%","±7.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±2.7"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","318","±100","22.2%","±7.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","41","±36","2.9%","±2.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","826","±163","57.6%","±8.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","94","±70","6.6%","±4.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","586","±138","40.9%","±8.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","211","±72","14.7%","±5.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","143","±76","10.0%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","322","±93","22.5%","±6.6"
"        Average household size","2.48","±0.01","(X)","(X)","1.47","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.18","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,104","±278","2,104","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,434","±163","68.2%","±4.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","113","±59","5.4%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","126","±77","6.0%","±3.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","239","±118","11.4%","±5.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","60","±48","2.9%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","132","±103","6.3%","±4.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","697","±155","697","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","433","±131","62.1%","±12.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","161","±90","23.1%","±11.6"
"        Separated","37,600","±1,670","1.3%","±0.1","23","±22","3.3%","±3.2"
"        Widowed","65,484","±1,934","2.3%","±0.1","25","±39","3.6%","±5.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","55","±43","7.9%","±5.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,287","±211","1,287","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","704","±191","54.7%","±11.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","151","±91","11.7%","±7.1"
"        Separated","55,256","±1,859","1.8%","±0.1","85","±68","6.6%","±4.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","57","±53","4.4%","±4.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","290","±100","22.5%","±7.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","38","±59","38","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±53.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±60","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","51","±79","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±490","(X)","(X)"
