"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01106!!Estimate","ZCTA5 01106!!Margin of Error","ZCTA5 01106!!Percent","ZCTA5 01106!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,015","±339","6,015","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,792","±206","63.0%","±5.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,715","±267","28.5%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","164","±82","2.7%","±1.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","4","±6","0.1%","±0.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","603","±179","10.0%","±2.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","32","±38","0.5%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","451","±137","7.5%","±2.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","235","±75","3.9%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,456","±376","24.2%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","219","±98","3.6%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,035","±348","17.2%","±5.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","872","±314","14.5%","±4.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,036","±238","33.8%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,486","±368","41.3%","±4.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.59","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.14","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,580","±231","15,580","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,015","±339","38.6%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,693","±234","23.7%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","158","±82","1.0%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,177","±286","33.2%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","402","±212","2.6%","±1.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","135","±83","0.9%","±0.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,964","±342","5,964","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,436","±265","24.1%","±3.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,963","±208","66.4%","±4.2"
"        Separated","37,600","±1,670","1.3%","±0.1","26","±29","0.4%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","158","±66","2.6%","±1.1"
"        Divorced","227,113","±4,005","8.0%","±0.1","381","±151","6.4%","±2.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","6,918","±392","6,918","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,413","±292","20.4%","±3.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,817","±233","55.2%","±5.2"
"        Separated","55,256","±1,859","1.8%","±0.1","58","±49","0.8%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","869","±182","12.6%","±2.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","761","±311","11.0%","±4.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","165","±130","165","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±21.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±29","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","53","±42","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±75","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","110","±111","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","39","±47","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","135","±83","135","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","18","±29","13.3%","±20.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","18","±29","13.3%","±20.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±25.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±25.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±25.2"
