"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01028!!Estimate","ZCTA5 01028!!Margin of Error","ZCTA5 01028!!Percent","ZCTA5 01028!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","6,017","±307","6,017","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,374","±210","56.1%","±4.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,391","±240","23.1%","±4.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","353","±118","5.9%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","145","±83","2.4%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","789","±196","13.1%","±2.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","59","±51","1.0%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","629","±194","10.5%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","254","±113","4.2%","±1.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,501","±231","24.9%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","254","±103","4.2%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","937","±175","15.6%","±2.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","782","±158","13.0%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,981","±191","32.9%","±4.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,301","±242","38.2%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.66","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.25","±0.17","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,988","±186","15,988","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","6,017","±307","37.6%","±1.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,381","±236","21.1%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","349","±123","2.2%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,428","±440","34.0%","±2.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","730","±203","4.6%","±1.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","83","±64","0.5%","±0.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","6,136","±371","6,136","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,857","±339","30.3%","±4.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,464","±230","56.5%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","31","±44","0.5%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","317","±123","5.2%","±1.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","467","±133","7.6%","±2.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","7,102","±343","7,102","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,669","±273","23.5%","±3.2"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,592","±257","50.6%","±4.1"
"        Separated","55,256","±1,859","1.8%","±0.1","52","±47","0.7%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","960","±198","13.5%","±2.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","829","±237","11.7%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","290","±222","290","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","20","±29","6.9%","±12.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","11","±16","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","85","±63","(X)","(X)"
