"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01368!!Estimate","ZCTA5 01368!!Margin of Error","ZCTA5 01368!!Percent","ZCTA5 01368!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","551","±63","551","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","335","±63","60.8%","±8.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","78","±47","14.2%","±7.9"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","36","±19","6.5%","±3.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","11","±11","2.0%","±2.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","95","±34","17.2%","±6.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±7.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","84","±32","15.2%","±5.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","50","±29","9.1%","±5.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","85","±29","15.4%","±5.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","23","±19","4.2%","±3.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","45","±21","8.2%","±3.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","45","±21","8.2%","±3.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","138","±52","25.0%","±8.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","207","±40","37.6%","±7.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.65","±0.36","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.40","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,461","±289","1,461","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","551","±63","37.7%","±5.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","339","±64","23.2%","±3.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","36","±18","2.5%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","420","±188","28.7%","±7.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","93","±42","6.4%","±2.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","22","±23","1.5%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","621","±102","621","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","185","±63","29.8%","±7.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","361","±67","58.1%","±7.4"
"        Separated","37,600","±1,670","1.3%","±0.1","4","±6","0.6%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","30","±19","4.8%","±3.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","41","±19","6.6%","±3.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","578","±74","578","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","137","±45","23.7%","±6.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","352","±62","60.9%","±8.7"
"        Separated","55,256","±1,859","1.8%","±0.1","12","±15","2.1%","±2.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","27","±22","4.7%","±3.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","50","±23","8.7%","±3.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","3","±4","3","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±100.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±241","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","10","±15","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±508","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","30","±44","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±231","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","57","±36","57","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","12","±18","21.1%","±29.6"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±43.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±43.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±43.6"
"            5 or more years","13,647","±1,024","10.9%","±0.8","12","±18","21.1%","±29.6"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","12","±18","12","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","6","±9","50.0%","±14.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","12","±18","100.0%","±95.0"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","282","±109","282","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","13","±12","4.6%","±4.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","41","±43","14.5%","±11.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","96","±59","34.0%","±11.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","81","±31","28.7%","±13.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","51","±47","18.1%","±16.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,046","±117","1,046","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","13","±10","1.2%","±1.0"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","88","±54","8.4%","±4.7"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","401","±85","38.3%","±7.0"
