"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01970!!Estimate","ZCTA5 01970!!Margin of Error","ZCTA5 01970!!Percent","ZCTA5 01970!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","19,699","±558","19,699","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,931","±479","35.2%","±2.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,246","±296","11.4%","±1.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,532","±304","7.8%","±1.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","205","±95","1.0%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,703","±545","18.8%","±2.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","164","±106","0.8%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,614","±542","13.3%","±2.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","807","±336","4.1%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","7,533","±696","38.2%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,318","±332","6.7%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","4,502","±579","22.9%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","2,047","±403","10.4%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,239","±402","21.5%","±2.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","5,741","±586","29.1%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.17","±0.06","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.89","±0.08","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","42,731","±329","42,731","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","19,699","±558","46.1%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","7,007","±496","16.4%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,556","±325","3.6%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,016","±686","23.4%","±1.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,193","±633","5.1%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,260","±580","5.3%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","16,875","±731","16,875","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,097","±683","42.1%","±3.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","7,550","±472","44.7%","±2.9"
"        Separated","37,600","±1,670","1.3%","±0.1","375","±270","2.2%","±1.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","310","±106","1.8%","±0.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,543","±329","9.1%","±1.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","21,529","±659","21,529","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","9,561","±852","44.4%","±3.3"
