"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01080!!Estimate","ZCTA5 01080!!Margin of Error","ZCTA5 01080!!Percent","ZCTA5 01080!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","895","±157","895","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","452","±138","50.5%","±10.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","113","±57","12.6%","±6.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","105","±73","11.7%","±8.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","72","±71","8.0%","±7.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","177","±98","19.8%","±10.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±4.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","103","±65","11.5%","±7.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","22","±21","2.5%","±2.3"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","161","±58","18.0%","±6.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","41","±42","4.6%","±4.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","90","±43","10.1%","±4.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","50","±33","5.6%","±3.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","226","±104","25.3%","±11.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","237","±89","26.5%","±9.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.54","±0.28","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.95","±0.31","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,276","±507","2,276","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","895","±157","39.3%","±4.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","455","±138","20.0%","±4.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","92","±56","4.0%","±2.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","713","±268","31.3%","±6.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","53","±42","2.3%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","68","±66","3.0%","±2.9"
"MARITAL STATUS","","","","","","","",""
