"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01475!!Estimate","ZCTA5 01475!!Margin of Error","ZCTA5 01475!!Percent","ZCTA5 01475!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,726","±191","3,726","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,248","±197","60.3%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","766","±178","20.6%","±5.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","459","±164","12.3%","±4.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","156","±100","4.2%","±2.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","357","±126","9.6%","±3.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","20","±32","0.5%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","171","±72","4.6%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","55","±38","1.5%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","662","±192","17.8%","±4.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","168","±98","4.5%","±2.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","414","±154","11.1%","±3.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","248","±118","6.7%","±3.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,190","±206","31.9%","±6.0"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,098","±222","29.5%","±5.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.72","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.05","±0.16","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","10,119","±105","10,119","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,726","±191","36.8%","±1.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,216","±200","21.9%","±2.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","452","±157","4.5%","±1.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,251","±339","32.1%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","354","±155","3.5%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","120","±83","1.2%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,143","±276","4,143","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,270","±194","30.7%","±3.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,358","±210","56.9%","±4.8"
"        Separated","37,600","±1,670","1.3%","±0.1","53","±62","1.3%","±1.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±21","0.0%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","462","±147","11.2%","±3.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,086","±279","4,086","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,078","±266","26.4%","±5.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,267","±208","55.5%","±5.3"
"        Separated","55,256","±1,859","1.8%","±0.1","65","±58","1.6%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","332","±140","8.1%","±3.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","344","±134","8.4%","±3.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","109","±102","109","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±29.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±35","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","47","±44","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±227","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","75","±81","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","28","±40","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","110","±78","110","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","34","±44","30.9%","±37.1"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±29.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±29.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","34","±44","30.9%","±37.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±21","0.0%","±29.6"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","34","±44","34","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","34","±44","100.0%","±56.4"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±21","0.0%","±56.4"
"SCHOOL ENROLLMENT","","","","","","","",""
