"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01612!!Estimate","ZCTA5 01612!!Margin of Error","ZCTA5 01612!!Percent","ZCTA5 01612!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,588","±158","1,588","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","987","±146","62.2%","±9.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","272","±79","17.1%","±5.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","121","±70","7.6%","±4.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","57","±46","3.6%","±3.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","158","±141","9.9%","±8.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","15","±17","0.9%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","116","±138","7.3%","±8.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","16","±18","1.0%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","322","±120","20.3%","±7.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","35","±24","2.2%","±1.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","170","±67","10.7%","±4.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","132","±58","8.3%","±3.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","421","±75","26.5%","±5.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","573","±98","36.1%","±5.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.71","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.01","±0.21","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,296","±287","4,296","(X)"
