"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01851!!Estimate","ZCTA5 01851!!Margin of Error","ZCTA5 01851!!Percent","ZCTA5 01851!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","11,376","±588","11,376","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,261","±498","37.5%","±3.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,042","±274","18.0%","±2.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","974","±257","8.6%","±2.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","424","±188","3.7%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,032","±430","26.7%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","118","±102","1.0%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,667","±360","14.7%","±3.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","315","±195","2.8%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,109","±404","27.3%","±3.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","924","±242","8.1%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,032","±284","9.1%","±2.5"
"                65 years and over","221,896","±3,548","8.2%","±0.1","381","±150","3.3%","±1.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,955","±407","34.8%","±3.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,609","±309","22.9%","±2.9"
"        Average household size","2.48","±0.01","(X)","(X)","2.84","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.43","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","32,280","±1,607","32,280","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","11,376","±588","35.2%","±1.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,060","±430","12.6%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","963","±257","3.0%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,194","±882","28.5%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","4,635","±700","14.4%","±2.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,052","±535","6.4%","±1.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","13,567","±868","13,567","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","6,132","±738","45.2%","±4.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,492","±581","40.5%","±3.8"
"        Separated","37,600","±1,670","1.3%","±0.1","201","±124","1.5%","±0.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","296","±135","2.2%","±1.0"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,446","±349","10.7%","±2.6"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","13,205","±832","13,205","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,312","±710","40.2%","±3.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","4,880","±487","37.0%","±3.4"
"        Separated","55,256","±1,859","1.8%","±0.1","301","±128","2.3%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,018","±213","7.7%","±1.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,694","±292","12.8%","±2.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","776","±238","776","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","408","±180","52.6%","±15.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","73","±30","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","91","±28","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±58","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","111","±36","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","85","±40","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","1,106","±294","1,106","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","140","±88","12.7%","±7.2"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±28","0.0%","±3.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","18","±30","1.6%","±2.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±28","0.0%","±3.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","122","±82","11.0%","±7.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","140","±88","140","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","113","±63","80.7%","±16.2"
"        Who are married","19,550","±1,487","64.5%","±2.5","114","±86","81.4%","±23.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","7,509","±773","7,509","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","610","±197","8.1%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","258","±104","3.4%","±1.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,685","±511","35.8%","±5.0"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,263","±269","16.8%","±2.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","2,693","±480","35.9%","±5.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","22,324","±1,153","22,324","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","3,392","±515","15.2%","±2.3"
