"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01913!!Estimate","ZCTA5 01913!!Margin of Error","ZCTA5 01913!!Percent","ZCTA5 01913!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,326","±278","7,326","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,365","±225","45.9%","±3.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,240","±225","16.9%","±3.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","407","±125","5.6%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","97","±63","1.3%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,300","±280","17.7%","±3.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","192","±149","2.6%","±2.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","841","±201","11.5%","±2.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","284","±107","3.9%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,254","±308","30.8%","±3.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","624","±255","8.5%","±3.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,363","±221","18.6%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","708","±153","9.7%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,241","±299","30.6%","±4.2"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,013","±205","27.5%","±2.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.32","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.90","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","16,974","±130","16,974","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,326","±278","43.2%","±1.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,354","±218","19.8%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","393","±120","2.3%","±0.7"
