"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01519!!Estimate","ZCTA5 01519!!Margin of Error","ZCTA5 01519!!Percent","ZCTA5 01519!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,652","±287","2,652","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,748","±227","65.9%","±6.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","806","±182","30.4%","±7.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","165","±97","6.2%","±3.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","14","±22","0.5%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","334","±147","12.6%","±5.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","22","±39","0.8%","±1.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","248","±135","9.4%","±4.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","41","±37","1.5%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","405","±132","15.3%","±5.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","94","±72","3.5%","±2.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","225","±119","8.5%","±4.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","145","±89","5.5%","±3.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","973","±190","36.7%","±7.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","577","±191","21.8%","±6.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.85","±0.23","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.26","±0.25","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,562","±785","7,562","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,652","±287","35.1%","±2.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,727","±220","22.8%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","169","±98","2.2%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,500","±470","33.1%","±4.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","210","±151","2.8%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","304","±195","4.0%","±2.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,195","±436","3,195","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","979","±284","30.6%","±6.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,800","±240","56.3%","±5.9"
"        Separated","37,600","±1,670","1.3%","±0.1","11","±15","0.3%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","112","±97","3.5%","±2.9"
