"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01550!!Estimate","ZCTA5 01550!!Margin of Error","ZCTA5 01550!!Percent","ZCTA5 01550!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,094","±312","7,094","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,394","±275","33.7%","±3.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","804","±158","11.3%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","729","±197","10.3%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","374","±147","5.3%","±2.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,552","±238","21.9%","±3.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","26","±23","0.4%","±0.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,038","±217","14.6%","±2.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","198","±73","2.8%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,419","±291","34.1%","±3.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","620","±122","8.7%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,107","±220","15.6%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","479","±139","6.8%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,221","±224","31.3%","±3.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,911","±244","26.9%","±3.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.46","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.02","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","17,433","±90","17,433","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,094","±312","40.7%","±1.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,366","±264","13.6%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","776","±219","4.5%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,072","±448","29.1%","±2.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,364","±399","7.8%","±2.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","761","±249","4.4%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","7,017","±374","7,017","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,777","±442","39.6%","±5.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,651","±285","37.8%","±4.7"
"        Separated","37,600","±1,670","1.3%","±0.1","200","±112","2.9%","±1.6"
