"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01259!!Estimate","ZCTA5 01259!!Margin of Error","ZCTA5 01259!!Percent","ZCTA5 01259!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","292","±63","292","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","172","±61","58.9%","±13.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","49","±41","16.8%","±12.6"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","22","±20","7.5%","±7.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","12","±15","4.1%","±5.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","50","±29","17.1%","±9.8"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","5","±9","1.7%","±3.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","41","±27","14.0%","±9.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","21","±18","7.2%","±6.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","48","±28","16.4%","±9.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","3","±5","1.0%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","45","±26","15.4%","±9.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","19","±19","6.5%","±6.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","69","±38","23.6%","±10.8"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","105","±37","36.0%","±11.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.47","±0.47","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.87","±0.46","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","720","±207","720","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","292","±63","40.6%","±7.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","174","±59","24.2%","±5.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","20","±18","2.8%","±2.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","170","±94","23.6%","±8.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","23","±23","3.2%","±3.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","41","±59","5.7%","±7.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","261","±69","261","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","39","±36","14.9%","±12.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","172","±57","65.9%","±15.2"
"        Separated","37,600","±1,670","1.3%","±0.1","4","±7","1.5%","±2.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±14.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","46","±28","17.6%","±10.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","344","±111","344","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","128","±64","37.2%","±10.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","182","±63","52.9%","±10.7"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±11.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","19","±15","5.5%","±4.3"
"        Divorced","324,764","±4,024","10.7%","±0.1","15","±17","4.4%","±5.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","12","±15","12","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","12","±15","100.0%","±95.0"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","102","±160","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","69","±105","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±470","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±448","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","169","±213","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","168","±124","168","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","0","±13","0.0%","±21.0"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","38","±44","22.6%","±13.6"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","52","±49","31.0%","±25.5"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","64","±59","38.1%","±29.3"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","14","±22","8.3%","±10.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","491","±110","491","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","0","±13","0.0%","±7.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","8","±8","1.6%","±1.7"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","105","±46","21.4%","±8.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","104","±49","21.2%","±7.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","29","±24","5.9%","±4.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","100","±43","20.4%","±7.5"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","145","±61","29.5%","±10.9"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","483","±109","98.4%","±1.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","245","±79","49.9%","±11.8"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","552","±127","552","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","19","±18","3.4%","±3.3"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","720","±207","720","(X)"
