"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01105!!Estimate","ZCTA5 01105!!Margin of Error","ZCTA5 01105!!Percent","ZCTA5 01105!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,206","±459","5,206","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","817","±263","15.7%","±4.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","397","±184","7.6%","±3.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","666","±312","12.8%","±5.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","205","±131","3.9%","±2.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,422","±281","27.3%","±5.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","51","±54","1.0%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,232","±270","23.7%","±5.0"
"                65 years and over","102,147","±2,741","3.8%","±0.1","243","±114","4.7%","±2.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,301","±268","44.2%","±5.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","864","±207","16.6%","±4.0"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,041","±196","20.0%","±3.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","301","±106","5.8%","±2.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,785","±325","34.3%","±5.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,033","±221","19.8%","±4.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.31","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.34","±0.32","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","12,045","±1,526","12,045","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,206","±459","43.2%","±3.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","787","±234","6.5%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","589","±279","4.9%","±2.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,181","±888","34.7%","±4.3"
"        Other relatives","394,812","±8,541","5.9%","±0.1","732","±272","6.1%","±2.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","550","±350","4.6%","±2.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","4,620","±602","4,620","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,921","±549","63.2%","±7.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,065","±307","23.1%","±6.1"
"        Separated","37,600","±1,670","1.3%","±0.1","203","±128","4.4%","±2.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","28","±38","0.6%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","403","±136","8.7%","±3.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,627","±564","4,627","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,646","±440","57.2%","±6.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","958","±264","20.7%","±4.9"
"        Separated","55,256","±1,859","1.8%","±0.1","213","±97","4.6%","±2.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","367","±120","7.9%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","443","±154","9.6%","±3.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","306","±162","306","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","213","±159","69.6%","±24.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","87","±62","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","98","±48","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±99","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","141","±96","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","71","±56","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","315","±126","315","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","151","±89","47.9%","±20.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±11.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","14","±16","4.4%","±5.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","65","±74","20.6%","±19.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","72","±43","22.9%","±14.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","151","±89","151","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","137","±85","90.7%","±11.6"
"        Who are married","19,550","±1,487","64.5%","±2.5","31","±26","20.5%","±21.1"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,500","±860","3,500","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","181","±160","5.2%","±4.2"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","193","±114","5.5%","±3.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,020","±614","57.7%","±8.7"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","443","±166","12.7%","±4.5"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","663","±290","18.9%","±6.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","7,274","±726","7,274","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,410","±322","19.4%","±3.8"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,089","±258","15.0%","±3.1"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,305","±435","31.7%","±5.1"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,096","±287","15.1%","±3.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","660","±265","9.1%","±3.5"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","348","±129","4.8%","±1.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","366","±144","5.0%","±2.0"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","4,775","±546","65.6%","±4.4"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","714","±192","9.8%","±2.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","8,870","±919","8,870","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","188","±79","2.1%","±0.9"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","12,384","±1,526","12,384","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","3,159","±465","25.5%","±4.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","3,651","±868","3,651","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","370","±161","10.1%","±4.6"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","7,534","±905","7,534","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","2,085","±361","27.7%","±5.0"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,199","±270","1,199","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","704","±228","58.7%","±11.6"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","12,204","±1,448","12,204","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","10,368","±1,309","85.0%","±4.4"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","1,836","±589","15.0%","±4.4"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","1,739","±566","14.2%","±4.3"
"                Same county","446,141","±8,933","6.4%","±0.1","1,461","±543","12.0%","±4.1"
"                Different county","354,693","±6,215","5.1%","±0.1","278","±164","2.3%","±1.3"
"                    Same state","205,752","±5,091","3.0%","±0.1","159","±125","1.3%","±1.0"
"                    Different state","148,941","±3,990","2.2%","±0.1","119","±120","1.0%","±1.0"
"            Abroad","61,536","±2,941","0.9%","±0.1","97","±113","0.8%","±0.9"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","12,527","±1,525","12,527","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","11,484","±1,422","91.7%","±2.2"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","7,207","±1,106","57.5%","±5.1"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","5,321","±802","42.5%","±5.2"
"                Different state","1,398,292","±9,460","20.0%","±0.1","1,886","±776","15.1%","±5.5"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","4,277","±810","34.1%","±5.2"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","1,043","±307","8.3%","±2.2"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","1,043","±307","1,043","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","680","±256","65.2%","±11.1"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","363","±137","34.8%","±11.1"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","5,320","±892","5,320","(X)"
"        Native","209,292","±4,176","209,292","(X)","4,277","±810","4,277","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","1,595","±588","37.3%","±9.5"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","2,682","±525","62.7%","±9.5"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","1,043","±307","1,043","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","336","±160","32.2%","±12.3"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","707","±248","67.8%","±12.3"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","1,043","±307","1,043","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","77","±71","7.4%","±6.7"
"        Asia","372,717","±3,581","30.8%","±0.3","36","±47","3.5%","±4.4"
"        Africa","113,823","±3,313","9.4%","±0.3","80","±63","7.7%","±6.0"
"        Oceania","4,098","±490","0.3%","±0.1","0","±21","0.0%","±3.8"
"        Latin America","456,601","±7,328","37.7%","±0.5","845","±290","81.0%","±9.5"
"        Northern America","28,855","±1,370","2.4%","±0.1","5","±8","0.5%","±0.7"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","11,498","±1,330","11,498","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","4,496","±816","39.1%","±5.8"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","7,002","±1,098","60.9%","±5.8"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","3,572","±746","31.1%","±5.4"
"        Spanish","623,189","±4,858","9.4%","±0.1","6,667","±1,100","58.0%","±5.9"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","3,451","±769","30.0%","±5.6"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","190","±117","1.7%","±1.0"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","64","±71","0.6%","±0.6"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","5","±11","0.0%","±0.1"
