"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01070!!Estimate","ZCTA5 01070!!Margin of Error","ZCTA5 01070!!Percent","ZCTA5 01070!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","258","±32","258","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","130","±23","50.4%","±8.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","37","±14","14.3%","±5.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","26","±17","10.1%","±6.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","4","±5","1.6%","±2.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","42","±19","16.3%","±6.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±14.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","30","±16","11.6%","±5.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","9","±6","3.5%","±2.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","60","±20","23.3%","±7.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","11","±12","4.3%","±4.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","32","±13","12.4%","±5.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","16","±8","6.2%","±3.1"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","57","±19","22.1%","±6.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","121","±24","46.9%","±8.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.39","±0.26","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.86","±0.34","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","616","±95","616","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","258","±32","41.9%","±4.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","128","±22","20.8%","±3.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","28","±16","4.5%","±2.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","165","±59","26.8%","±6.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","15","±13","2.4%","±2.0"
