"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01730!!Estimate","ZCTA5 01730!!Margin of Error","ZCTA5 01730!!Percent","ZCTA5 01730!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","5,540","±299","5,540","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,968","±218","53.6%","±5.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,541","±199","27.8%","±4.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","244","±95","4.4%","±1.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±21","0.0%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","876","±258","15.8%","±4.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","51","±53","0.9%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","542","±197","9.8%","±3.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","225","±94","4.1%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,452","±291","26.2%","±4.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","278","±116","5.0%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,020","±272","18.4%","±4.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","643","±192","11.6%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,959","±210","35.4%","±4.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,733","±255","31.3%","±3.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.51","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.17","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","13,900","±90","13,900","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","5,540","±299","39.9%","±2.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,977","±212","21.4%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","239","±94","1.7%","±0.7"
