"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02053!!Estimate","ZCTA5 02053!!Margin of Error","ZCTA5 02053!!Percent","ZCTA5 02053!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,812","±213","4,812","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,096","±207","64.3%","±4.9"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,605","±194","33.4%","±4.7"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","148","±88","3.1%","±1.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","63","±62","1.3%","±1.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","636","±224","13.2%","±4.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","46","±40","1.0%","±0.8"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","409","±186","8.5%","±3.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","149","±138","3.1%","±2.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","932","±228","19.4%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","83","±56","1.7%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","479","±153","10.0%","±3.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","238","±98","4.9%","±2.0"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,833","±183","38.1%","±4.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,179","±213","24.5%","±4.0"
"        Average household size","2.48","±0.01","(X)","(X)","2.80","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.23","±0.14","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","13,470","±287","13,470","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,812","±213","35.7%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,222","±243","23.9%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","145","±88","1.1%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","4,461","±351","33.1%","±2.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","393","±142","2.9%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","437","±377","3.2%","±2.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","5,103","±303","5,103","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,508","±268","29.6%","±4.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,229","±236","63.3%","±4.5"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±21","0.0%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","73","±48","1.4%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","293","±168","5.7%","±3.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","5,849","±348","5,849","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,698","±398","29.0%","±5.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,180","±258","54.4%","±5.3"
"        Separated","55,256","±1,859","1.8%","±0.1","75","±52","1.3%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","441","±119","7.5%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","455","±135","7.8%","±2.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","142","±95","142","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","10","±13","7.0%","±10.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","6","±8","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","41","±28","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±66","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","41","±32","(X)","(X)"
