"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01503!!Estimate","ZCTA5 01503!!Margin of Error","ZCTA5 01503!!Percent","ZCTA5 01503!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,311","±126","1,311","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","773","±89","59.0%","±7.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","192","±46","14.6%","±4.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","37","±23","2.8%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±13","0.0%","±3.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","164","±66","12.5%","±4.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","26","±27","2.0%","±2.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","120","±63","9.2%","±4.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","73","±46","5.6%","±3.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","337","±111","25.7%","±7.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","27","±28","2.1%","±2.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","215","±108","16.4%","±7.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","191","±108","14.6%","±7.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","275","±50","21.0%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","656","±122","50.0%","±6.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.53","±0.24","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.02","±0.27","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,321","±27","3,321","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,311","±126","39.5%","±3.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","766","±89","23.1%","±2.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","37","±23","1.1%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","912","±141","27.5%","±4.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","167","±91","5.0%","±2.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","128","±72","3.9%","±2.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,237","±140","1,237","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","256","±89","20.7%","±6.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","793","±90","64.1%","±6.0"
