"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01072!!Estimate","ZCTA5 01072!!Margin of Error","ZCTA5 01072!!Percent","ZCTA5 01072!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","609","±70","609","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","285","±47","46.8%","±6.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","68","±17","11.2%","±3.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","29","±17","4.8%","±2.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","20","±15","3.3%","±2.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","115","±39","18.9%","±6.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","21","±18","3.4%","±2.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","77","±33","12.6%","±5.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","25","±11","4.1%","±1.9"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","180","±54","29.6%","±7.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","16","±12","2.6%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","101","±40","16.6%","±6.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","56","±27","9.2%","±4.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","132","±30","21.7%","±4.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","252","±51","41.4%","±6.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.26","±0.18","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.65","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,374","±162","1,374","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","609","±70","44.3%","±3.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","280","±47","20.4%","±3.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","29","±17","2.1%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","343","±72","25.0%","±3.6"
"        Other relatives","394,812","±8,541","5.9%","±0.1","63","±37","4.6%","±2.7"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","50","±53","3.6%","±3.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","556","±96","556","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","211","±74","37.9%","±9.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","287","±46","51.6%","±8.4"
"        Separated","37,600","±1,670","1.3%","±0.1","14","±16","2.5%","±2.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","19","±16","3.4%","±2.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","25","±13","4.5%","±2.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","648","±90","648","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","153","±42","23.6%","±4.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","302","±50","46.6%","±7.4"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±6.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","63","±27","9.7%","±4.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","130","±49","20.1%","±6.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","10","±8","10","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","4","±5","40.0%","±42.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","26","±34","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","38","±34","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±912","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","24","±38","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","55","±55","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","15","±11","15","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","0.0%","±84.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±84.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±84.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±84.9"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±84.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","249","±68","249","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","24","±15","9.6%","±5.8"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","8","±9","3.2%","±3.6"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","96","±36","38.6%","±12.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","33","±16","13.3%","±5.9"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","88","±49","35.3%","±14.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","1,094","±128","1,094","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","0","±13","0.0%","±3.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","11","±8","1.0%","±0.7"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","140","±41","12.8%","±3.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","123","±39","11.2%","±3.4"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","79","±29","7.2%","±2.6"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","343","±70","31.4%","±4.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","398","±80","36.4%","±5.6"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,083","±128","99.0%","±0.7"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","741","±116","67.7%","±5.9"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","1,180","±155","1,180","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","44","±20","3.7%","±1.7"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","1,374","±162","1,374","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","180","±40","13.1%","±2.9"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","194","±48","194","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","0","±13","0.0%","±18.5"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","833","±138","833","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","118","±34","14.2%","±4.3"
"    65 years and over","1,122,280","±664","1,122,280","(X)","347","±77","347","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","62","±25","17.9%","±7.4"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","1,363","±162","1,363","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","1,247","±172","91.5%","±4.1"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","116","±54","8.5%","±4.1"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","113","±54","8.3%","±4.1"
"                Same county","446,141","±8,933","6.4%","±0.1","6","±9","0.4%","±0.7"
"                Different county","354,693","±6,215","5.1%","±0.1","107","±54","7.9%","±4.1"
"                    Same state","205,752","±5,091","3.0%","±0.1","29","±20","2.1%","±1.6"
"                    Different state","148,941","±3,990","2.2%","±0.1","78","±51","5.7%","±3.8"
"            Abroad","61,536","±2,941","0.9%","±0.1","3","±4","0.2%","±0.3"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","1,374","±162","1,374","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","1,324","±162","96.4%","±1.3"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","1,286","±152","93.6%","±2.3"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","744","±132","54.1%","±5.7"
"                Different state","1,398,292","±9,460","20.0%","±0.1","542","±79","39.4%","±5.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","38","±28","2.8%","±1.9"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","50","±18","3.6%","±1.3"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","50","±18","50","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","47","±17","94.0%","±8.5"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","3","±4","6.0%","±8.5"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","88","±34","88","(X)"
"        Native","209,292","±4,176","209,292","(X)","38","±28","38","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","0.0%","±53.4"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","38","±28","100.0%","±53.4"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","50","±18","50","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","0","±13","0.0%","±46.5"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","50","±18","100.0%","±46.5"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","50","±18","50","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","17","±12","34.0%","±21.9"
"        Asia","372,717","±3,581","30.8%","±0.3","4","±6","8.0%","±12.0"
"        Africa","113,823","±3,313","9.4%","±0.3","6","±8","12.0%","±17.5"
"        Oceania","4,098","±490","0.3%","±0.1","4","±6","8.0%","±11.1"
"        Latin America","456,601","±7,328","37.7%","±0.5","14","±10","28.0%","±20.5"
"        Northern America","28,855","±1,370","2.4%","±0.1","5","±5","10.0%","±9.3"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","1,321","±162","1,321","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","1,218","±153","92.2%","±5.4"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","103","±74","7.8%","±5.4"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","6","±6","0.5%","±0.5"
"        Spanish","623,189","±4,858","9.4%","±0.1","84","±75","6.4%","±5.5"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","3","±5","0.2%","±0.4"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","16","±11","1.2%","±0.8"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","3","±5","0.2%","±0.4"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","0","±13","0.0%","±3.0"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","0","±13","0.0%","±3.0"
"        Other languages","99,560","±3,943","1.5%","±0.1","3","±5","0.2%","±0.4"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±13","0.0%","±3.0"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","1,374","±162","1,374","(X)"
"        American","260,364","±6,504","3.7%","±0.1","31","±22","2.3%","±1.7"
"        Arab","72,487","±3,641","1.0%","±0.1","3","±4","0.2%","±0.3"
"        Czech","12,119","±1,098","0.2%","±0.1","5","±4","0.4%","±0.3"
"        Danish","14,346","±1,162","0.2%","±0.1","11","±9","0.8%","±0.6"
"        Dutch","34,354","±1,922","0.5%","±0.1","23","±25","1.7%","±1.7"
"        English","655,283","±8,406","9.4%","±0.1","269","±59","19.6%","±3.9"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","70","±28","5.1%","±1.9"
"        French Canadian","235,524","±4,384","3.4%","±0.1","50","±21","3.6%","±1.6"
"        German","387,135","±7,027","5.5%","±0.1","144","±45","10.5%","±3.4"
"        Greek","76,566","±3,218","1.1%","±0.1","3","±5","0.2%","±0.4"
"        Hungarian","19,068","±1,432","0.3%","±0.1","6","±7","0.4%","±0.5"
"        Irish","1,345,219","±11,619","19.2%","±0.2","329","±96","23.9%","±5.2"
"        Italian","815,794","±9,186","11.7%","±0.1","141","±53","10.3%","±3.9"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","10","±14","0.7%","±1.0"
"        Norwegian","35,032","±1,997","0.5%","±0.1","0","±13","0.0%","±2.9"
"        Polish","283,050","±4,814","4.0%","±0.1","185","±82","13.5%","±5.1"
"        Portuguese","270,183","±5,260","3.9%","±0.1","33","±25","2.4%","±1.8"
"        Russian","91,511","±3,161","1.3%","±0.1","32","±17","2.3%","±1.2"
"        Scotch-Irish","41,714","±2,151","0.6%","±0.1","6","±6","0.4%","±0.4"
"        Scottish","134,503","±3,385","1.9%","±0.1","54","±23","3.9%","±1.7"
"        Slovak","7,069","±828","0.1%","±0.1","10","±14","0.7%","±1.0"
"        Subsaharan African","158,921","±4,752","2.3%","±0.1","0","±13","0.0%","±2.9"
"        Swedish","102,031","±2,873","1.5%","±0.1","51","±33","3.7%","±2.3"
"        Swiss","10,126","±912","0.1%","±0.1","3","±4","0.2%","±0.3"
"        Ukrainian","24,760","±1,792","0.4%","±0.1","6","±7","0.4%","±0.5"
"        Welsh","23,388","±1,506","0.3%","±0.1","15","±13","1.1%","±1.0"
"        West Indian (excluding Hispanic origin groups)","139,627","±4,694","2.0%","±0.1","0","±13","0.0%","±2.9"
"COMPUTERS AND INTERNET USE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","609","±70","609","(X)"
"        With a computer","2,538,022","±5,269","93.5%","±0.1","579","±72","95.1%","±2.5"
"        With a broadband Internet subscription","2,431,466","±6,695","89.6%","±0.2","537","±65","88.2%","±4.0"
