"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01013!!Estimate","ZCTA5 01013!!Margin of Error","ZCTA5 01013!!Percent","ZCTA5 01013!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,375","±483","9,375","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,125","±363","33.3%","±3.8"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,131","±227","12.1%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,136","±235","12.1%","±2.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","516","±216","5.5%","±2.3"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,821","±329","19.4%","±3.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","13","±20","0.1%","±0.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,369","±276","14.6%","±2.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","535","±186","5.7%","±2.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,293","±438","35.1%","±3.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","730","±268","7.8%","±2.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,737","±340","18.5%","±3.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","929","±252","9.9%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,590","±364","27.6%","±3.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,843","±387","30.3%","±3.6"
"        Average household size","2.48","±0.01","(X)","(X)","2.36","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.02","±0.15","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","22,102","±1,231","22,102","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,375","±483","42.4%","±1.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,185","±384","14.4%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,249","±276","5.7%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","6,625","±776","30.0%","±2.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,137","±385","5.1%","±1.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","531","±202","2.4%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","8,326","±543","8,326","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,555","±415","42.7%","±4.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,347","±392","40.2%","±4.1"
"        Separated","37,600","±1,670","1.3%","±0.1","144","±84","1.7%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","302","±156","3.6%","±1.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","978","±199","11.7%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,375","±694","10,375","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","4,434","±592","42.7%","±4.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,622","±434","34.9%","±3.8"
"        Separated","55,256","±1,859","1.8%","±0.1","224","±97","2.2%","±0.9"
"        Widowed","239,073","±3,906","7.9%","±0.1","992","±219","9.6%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,103","±225","10.6%","±2.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","313","±94","313","(X)"
