"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01585!!Estimate","ZCTA5 01585!!Margin of Error","ZCTA5 01585!!Percent","ZCTA5 01585!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,968","±212","1,968","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,064","±167","54.1%","±7.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","368","±155","18.7%","±7.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","217","±112","11.0%","±5.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","70","±68","3.6%","±3.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","259","±116","13.2%","±6.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","41","±45","2.1%","±2.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","194","±101","9.9%","±5.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","61","±34","3.1%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","428","±135","21.7%","±5.8"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","36","±31","1.8%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","365","±131","18.5%","±5.8"
"                65 years and over","221,896","±3,548","8.2%","±0.1","256","±111","13.0%","±5.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","567","±174","28.8%","±8.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","765","±177","38.9%","±8.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.38","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.90","±0.23","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","4,689","±504","4,689","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,968","±212","42.0%","±3.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,092","±172","23.3%","±2.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","201","±103","4.3%","±2.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,117","±276","23.8%","±4.1"
"        Other relatives","394,812","±8,541","5.9%","±0.1","189","±102","4.0%","±2.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","122","±100","2.6%","±2.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,975","±252","1,975","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","605","±202","30.6%","±7.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,070","±161","54.2%","±7.1"
"        Separated","37,600","±1,670","1.3%","±0.1","64","±58","3.2%","±3.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","82","±69","4.2%","±3.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","154","±67","7.8%","±3.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","2,241","±298","2,241","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","548","±162","24.5%","±6.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,138","±201","50.8%","±6.5"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±1.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","269","±106","12.0%","±4.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","286","±98","12.8%","±4.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","87","±73","87","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","77","±73","88.5%","±26.3"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","168","±146","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","100","±81","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±217","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","259","±196","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","25","±47","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","105","±90","105","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","78","±84","74.3%","±31.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","49","±79","46.7%","±49.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±30.6"
"            3 or 4 years","5,630","±671","4.5%","±0.5","19","±27","18.1%","±31.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","10","±16","9.5%","±16.0"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","78","±84","78","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","43","±43","55.1%","±14.7"
"        Who are married","19,550","±1,487","64.5%","±2.5","78","±84","100.0%","±37.2"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","935","±253","935","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","59","±59","6.3%","±6.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","26","±22","2.8%","±2.4"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","376","±109","40.2%","±9.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","353","±196","37.8%","±14.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","121","±77","12.9%","±7.9"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","3,808","±336","3,808","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","37","±28","1.0%","±0.7"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","182","±116","4.8%","±2.9"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,146","±252","30.1%","±6.6"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","829","±349","21.8%","±8.0"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","489","±183","12.8%","±4.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","832","±169","21.8%","±4.9"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","293","±89","7.7%","±2.3"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","3,589","±327","94.2%","±3.1"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","1,125","±180","29.5%","±5.4"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","3,927","±339","3,927","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","633","±209","16.1%","±5.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","4,721","±497","4,721","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","621","±151","13.2%","±3.3"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","937","±242","937","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","26","±30","2.8%","±3.0"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","2,772","±350","2,772","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","255","±143","9.2%","±5.0"
"    65 years and over","1,122,280","±664","1,122,280","(X)","1,012","±221","1,012","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","340","±112","33.6%","±9.2"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","4,782","±492","4,782","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","4,545","±488","95.0%","±2.3"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","237","±110","5.0%","±2.3"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","237","±110","5.0%","±2.3"
"                Same county","446,141","±8,933","6.4%","±0.1","195","±110","4.1%","±2.3"
"                Different county","354,693","±6,215","5.1%","±0.1","42","±27","0.9%","±0.6"
"                    Same state","205,752","±5,091","3.0%","±0.1","32","±24","0.7%","±0.5"
"                    Different state","148,941","±3,990","2.2%","±0.1","10","±15","0.2%","±0.3"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±13","0.0%","±0.8"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","4,864","±499","4,864","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","4,824","±507","99.2%","±0.7"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","4,813","±507","99.0%","±0.7"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","3,995","±518","82.1%","±4.0"
"                Different state","1,398,292","±9,460","20.0%","±0.1","818","±175","16.8%","±3.8"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","11","±16","0.2%","±0.3"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","40","±34","0.8%","±0.7"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","40","±34","40","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","32","±32","80.0%","±33.0"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","8","±13","20.0%","±33.0"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","51","±33","51","(X)"
"        Native","209,292","±4,176","209,292","(X)","11","±16","11","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","0.0%","±99.2"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","11","±16","100.0%","±99.2"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","40","±34","40","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","8","±13","20.0%","±33.0"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","32","±32","80.0%","±33.0"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","40","±34","40","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","22","±27","55.0%","±48.2"
"        Asia","372,717","±3,581","30.8%","±0.3","0","±13","0.0%","±52.0"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±13","0.0%","±52.0"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±52.0"
"        Latin America","456,601","±7,328","37.7%","±0.5","18","±21","45.0%","±48.2"
"        Northern America","28,855","±1,370","2.4%","±0.1","0","±13","0.0%","±52.0"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","4,682","±497","4,682","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","4,621","±499","98.7%","±1.2"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","61","±56","1.3%","±1.2"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","8","±13","0.2%","±0.3"
"        Spanish","623,189","±4,858","9.4%","±0.1","8","±12","0.2%","±0.2"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","0","±13","0.0%","±0.8"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","53","±48","1.1%","±1.0"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","8","±13","0.2%","±0.3"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","0","±13","0.0%","±0.8"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","0","±13","0.0%","±0.8"
"        Other languages","99,560","±3,943","1.5%","±0.1","0","±13","0.0%","±0.8"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±13","0.0%","±0.8"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","4,864","±499","4,864","(X)"
"        American","260,364","±6,504","3.7%","±0.1","909","±329","18.7%","±7.0"
