"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01841!!Estimate","ZCTA5 01841!!Margin of Error","ZCTA5 01841!!Percent","ZCTA5 01841!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","17,019","±645","17,019","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","5,725","±504","33.6%","±2.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,928","±383","17.2%","±2.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,645","±332","9.7%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","1,027","±276","6.0%","±1.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,032","±430","17.8%","±2.4"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","437","±161","2.6%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,543","±348","9.1%","±1.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","334","±121","2.0%","±0.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","6,617","±551","38.9%","±3.0"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","2,438","±403","14.3%","±2.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,108","±394","12.4%","±2.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,093","±254","6.4%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","7,736","±539","45.5%","±2.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,188","±441","24.6%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","3.07","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.55","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","52,271","±1,579","52,271","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","17,019","±645","32.6%","±1.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","5,637","±460","10.8%","±0.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,728","±357","3.3%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","20,372","±1,199","39.0%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","6,113","±648","11.7%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,402","±393","2.7%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","20,118","±852","20,118","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","9,898","±830","49.2%","±3.1"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","7,290","±563","36.2%","±2.8"
"        Separated","37,600","±1,670","1.3%","±0.1","655","±271","3.3%","±1.3"
"        Widowed","65,484","±1,934","2.3%","±0.1","400","±164","2.0%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,875","±377","9.3%","±1.8"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","20,685","±794","20,685","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","9,016","±596","43.6%","±2.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,704","±516","32.4%","±2.3"
"        Separated","55,256","±1,859","1.8%","±0.1","915","±275","4.4%","±1.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,464","±243","7.1%","±1.1"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,586","±375","12.5%","±1.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","909","±231","909","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","420","±180","46.2%","±14.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","46","±20","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","67","±17","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±20","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","127","±36","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","24","±14","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","1,827","±357","1,827","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","336","±148","18.4%","±7.3"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","48","±49","2.6%","±2.6"
"            1 or 2 years","6,316","±677","5.0%","±0.5","79","±60","4.3%","±3.2"
"            3 or 4 years","5,630","±671","4.5%","±0.5","18","±30","1.0%","±1.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","191","±120","10.5%","±6.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","336","±148","336","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","233","±117","69.3%","±16.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","195","±126","58.0%","±19.9"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","14,597","±1,059","14,597","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","1,103","±359","7.6%","±2.3"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","654","±187","4.5%","±1.3"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","6,238","±654","42.7%","±3.4"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","3,372","±466","23.1%","±2.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","3,230","±603","22.1%","±3.7"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
