"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01752!!Estimate","ZCTA5 01752!!Margin of Error","ZCTA5 01752!!Percent","ZCTA5 01752!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","17,147","±800","17,147","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","7,836","±473","45.7%","±3.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,234","±370","18.9%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,450","±307","8.5%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","289","±156","1.7%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,409","±599","19.9%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","124","±90","0.7%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,723","±542","15.9%","±2.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","919","±296","5.4%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,452","±586","26.0%","±2.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","695","±228","4.1%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,567","±453","15.0%","±2.3"
"                65 years and over","221,896","±3,548","8.2%","±0.1","804","±220","4.7%","±1.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,778","±433","27.9%","±3.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,208","±488","24.5%","±2.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.39","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.06","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","40,965","±197","40,965","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","17,147","±800","41.9%","±1.9"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","7,702","±477","18.8%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,480","±326","3.6%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","10,595","±750","25.9%","±1.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,934","±761","7.2%","±1.9"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,107","±383","2.7%","±0.9"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","16,625","±659","16,625","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","5,411","±620","32.5%","±3.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","8,872","±441","53.4%","±3.2"
"        Separated","37,600","±1,670","1.3%","±0.1","267","±171","1.6%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","375","±139","2.3%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,700","±372","10.2%","±2.1"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","17,783","±689","17,783","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,973","±709","33.6%","±3.4"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","8,355","±485","47.0%","±3.1"
"        Separated","55,256","±1,859","1.8%","±0.1","412","±187","2.3%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","993","±263","5.6%","±1.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,050","±395","11.5%","±2.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","539","±230","539","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","171","±120","31.7%","±18.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","30","±22","(X)","(X)"
