"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01922!!Estimate","ZCTA5 01922!!Margin of Error","ZCTA5 01922!!Percent","ZCTA5 01922!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,196","±170","1,196","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","662","±190","55.4%","±13.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","311","±167","26.0%","±13.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","228","±131","19.1%","±10.5"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","90","±88","7.5%","±7.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","74","±60","6.2%","±5.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","8","±15","0.7%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","66","±58","5.5%","±4.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","12","±19","1.0%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","232","±120","19.4%","±9.5"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±3.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","96","±77","8.0%","±6.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","44","±58","3.7%","±4.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","523","±155","43.7%","±11.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","522","±123","43.6%","±9.4"
"        Average household size","2.48","±0.01","(X)","(X)","3.17","±0.36","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.43","±0.34","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","3,786","±628","3,786","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,196","±170","31.6%","±3.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","653","±191","17.2%","±4.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","230","±133","6.1%","±3.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","1,297","±343","34.3%","±5.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","278","±173","7.3%","±4.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","132","±128","3.5%","±3.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,586","±310","1,586","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","559","±221","35.2%","±9.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","743","±178","46.8%","±12.0"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±2.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","12","±19","0.8%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","272","±136","17.2%","±7.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,556","±270","1,556","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","336","±180","21.6%","±9.7"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","743","±181","47.8%","±11.6"
"        Separated","55,256","±1,859","1.8%","±0.1","34","±53","2.2%","±3.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","128","±89","8.2%","±5.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","315","±145","20.2%","±8.7"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","74","±68","74","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","0.0%","±38.2"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±117","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","110","±102","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±331","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","457","±352","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±91","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","160","±116","160","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","0.0%","±21.9"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","0.0%","±21.9"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","0.0%","±21.9"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","0.0%","±21.9"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","0.0%","±21.9"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,004","±300","1,004","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","0","±13","0.0%","±3.9"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","75","±74","7.5%","±7.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","494","±202","49.2%","±13.4"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","317","±161","31.6%","±12.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","118","±78","11.8%","±7.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,752","±446","2,752","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","53","±67","1.9%","±2.3"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","59","±71","2.1%","±2.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","582","±183","21.1%","±5.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","280","±139","10.2%","±4.6"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","261","±142","9.5%","±4.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","861","±215","31.3%","±7.5"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","656","±220","23.8%","±6.3"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","2,640","±436","95.9%","±3.4"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","1,517","±329","55.1%","±8.6"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","2,867","±445","2,867","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","324","±124","11.3%","±4.0"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","3,929","±638","3,929","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","327","±184","8.3%","±4.8"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","1,062","±291","1,062","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","45","±69","4.2%","±6.7"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","1,977","±401","1,977","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","65","±74","3.3%","±3.8"
"    65 years and over","1,122,280","±664","1,122,280","(X)","890","±213","890","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","217","±129","24.4%","±11.8"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","3,855","±626","3,855","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","3,404","±661","88.3%","±10.3"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","451","±403","11.7%","±10.3"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","451","±403","11.7%","±10.3"
"                Same county","446,141","±8,933","6.4%","±0.1","398","±393","10.3%","±10.1"
"                Different county","354,693","±6,215","5.1%","±0.1","53","±68","1.4%","±1.8"
"                    Same state","205,752","±5,091","3.0%","±0.1","53","±68","1.4%","±1.8"
"                    Different state","148,941","±3,990","2.2%","±0.1","0","±13","0.0%","±1.0"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±13","0.0%","±1.0"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","3,929","±638","3,929","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","3,817","±635","97.1%","±2.5"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","3,797","±636","96.6%","±2.9"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","3,379","±616","86.0%","±5.0"
"                Different state","1,398,292","±9,460","20.0%","±0.1","418","±157","10.6%","±4.0"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","20","±35","0.5%","±0.9"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","112","±97","2.9%","±2.5"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","112","±97","112","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","89","±96","79.5%","±54.5"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","23","±54","20.5%","±54.5"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","132","±113","132","(X)"
"        Native","209,292","±4,176","209,292","(X)","20","±35","20","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","0.0%","±73.6"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","20","±35","100.0%","±73.6"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","112","±97","112","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","0","±13","0.0%","±29.2"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","112","±97","100.0%","±29.2"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","112","±97","112","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","31","±48","27.7%","±38.1"
"        Asia","372,717","±3,581","30.8%","±0.3","35","±60","31.3%","±42.4"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±13","0.0%","±29.2"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±29.2"
"        Latin America","456,601","±7,328","37.7%","±0.5","46","±54","41.1%","±42.8"
"        Northern America","28,855","±1,370","2.4%","±0.1","0","±13","0.0%","±29.2"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","3,711","±610","3,711","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","3,521","±641","94.9%","±5.4"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","190","±197","5.1%","±5.4"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","52","±72","1.4%","±2.0"
"        Spanish","623,189","±4,858","9.4%","±0.1","46","±54","1.2%","±1.5"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","23","±54","0.6%","±1.5"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","144","±190","3.9%","±5.2"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","29","±48","0.8%","±1.3"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","0","±13","0.0%","±1.1"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","0","±13","0.0%","±1.1"
"        Other languages","99,560","±3,943","1.5%","±0.1","0","±13","0.0%","±1.1"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±13","0.0%","±1.1"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","3,929","±638","3,929","(X)"
"        American","260,364","±6,504","3.7%","±0.1","54","±49","1.4%","±1.3"
"        Arab","72,487","±3,641","1.0%","±0.1","0","±13","0.0%","±1.0"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±13","0.0%","±1.0"
"        Danish","14,346","±1,162","0.2%","±0.1","0","±13","0.0%","±1.0"
"        Dutch","34,354","±1,922","0.5%","±0.1","8","±13","0.2%","±0.3"
"        English","655,283","±8,406","9.4%","±0.1","705","±298","17.9%","±7.3"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","260","±183","6.6%","±4.6"
"        French Canadian","235,524","±4,384","3.4%","±0.1","252","±202","6.4%","±5.1"
"        German","387,135","±7,027","5.5%","±0.1","441","±279","11.2%","±6.9"
"        Greek","76,566","±3,218","1.1%","±0.1","113","±117","2.9%","±3.0"
"        Hungarian","19,068","±1,432","0.3%","±0.1","11","±18","0.3%","±0.5"
"        Irish","1,345,219","±11,619","19.2%","±0.2","1,803","±500","45.9%","±10.2"
"        Italian","815,794","±9,186","11.7%","±0.1","403","±246","10.3%","±6.1"
