"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02150!!Estimate","ZCTA5 02150!!Margin of Error","ZCTA5 02150!!Percent","ZCTA5 02150!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","13,337","±673","13,337","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,524","±393","33.9%","±3.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,177","±347","16.3%","±2.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,222","±230","9.2%","±1.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","542","±156","4.1%","±1.2"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","3,342","±499","25.1%","±3.0"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","133","±115","1.0%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","2,279","±415","17.1%","±2.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","611","±198","4.6%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,249","±492","31.9%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,084","±242","8.1%","±1.8"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,230","±357","16.7%","±2.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","911","±228","6.8%","±1.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,472","±348","33.5%","±3.1"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,982","±377","22.4%","±2.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.95","±0.14","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.91","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","39,286","±285","39,286","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","13,337","±673","33.9%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,437","±395","11.3%","±1.0"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,203","±237","3.1%","±0.6"
"        Child","1,898,296","±5,188","28.1%","±0.1","12,001","±800","30.5%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","5,327","±808","13.6%","±2.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","2,981","±656","7.6%","±1.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","16,122","±759","16,122","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","7,686","±698","47.7%","±3.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,439","±571","39.9%","±3.2"
"        Separated","37,600","±1,670","1.3%","±0.1","434","±165","2.7%","±1.0"
"        Widowed","65,484","±1,934","2.3%","±0.1","448","±208","2.8%","±1.3"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,115","±270","6.9%","±1.7"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","15,417","±778","15,417","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","6,397","±633","41.5%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,207","±413","33.8%","±3.1"
"        Separated","55,256","±1,859","1.8%","±0.1","1,007","±338","6.5%","±2.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,283","±259","8.3%","±1.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,523","±330","9.9%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","368","±145","368","(X)"
