"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02180!!Estimate","ZCTA5 02180!!Margin of Error","ZCTA5 02180!!Percent","ZCTA5 02180!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","9,758","±414","9,758","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","4,890","±322","50.1%","±3.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,934","±254","19.8%","±3.0"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","648","±185","6.6%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","63","±69","0.6%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,530","±271","15.7%","±2.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","34","±38","0.3%","±0.4"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,208","±252","12.4%","±2.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","514","±157","5.3%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,690","±374","27.6%","±3.3"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","312","±200","3.2%","±2.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,788","±349","18.3%","±3.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","913","±232","9.4%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","2,503","±289","25.7%","±3.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,454","±401","35.4%","±3.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.35","±0.10","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.00","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","22,979","±104","22,979","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","9,758","±414","42.5%","±1.8"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","4,910","±330","21.4%","±1.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","674","±189","2.9%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","5,942","±557","25.9%","±2.4"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,031","±346","4.5%","±1.5"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","664","±293","2.9%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","9,251","±523","9,251","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,655","±459","28.7%","±4.0"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","5,130","±306","55.5%","±4.5"
"        Separated","37,600","±1,670","1.3%","±0.1","113","±97","1.2%","±1.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","360","±157","3.9%","±1.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","993","±318","10.7%","±3.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","9,856","±447","9,856","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,710","±410","27.5%","±3.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","5,192","±358","52.7%","±3.9"
"        Separated","55,256","±1,859","1.8%","±0.1","177","±129","1.8%","±1.3"
"        Widowed","239,073","±3,906","7.9%","±0.1","941","±264","9.5%","±2.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","836","±230","8.5%","±2.2"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","404","±184","404","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","19","±33","4.7%","±8.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","8","±14","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","81","±38","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±92","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","52","±42","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","112","±62","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","155","±85","155","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","40","±50","25.8%","±27.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±22.5"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±25","0.0%","±22.5"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±25","0.0%","±22.5"
"            5 or more years","13,647","±1,024","10.9%","±0.8","40","±50","25.8%","±27.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","40","±50","40","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","24","±27","60.0%","±21.9"
"        Who are married","19,550","±1,487","64.5%","±2.5","32","±48","80.0%","±44.4"
"SCHOOL ENROLLMENT","","","","","","","",""
