"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01360!!Estimate","ZCTA5 01360!!Margin of Error","ZCTA5 01360!!Percent","ZCTA5 01360!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","1,213","±89","1,213","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","597","±84","49.2%","±7.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","188","±58","15.5%","±5.1"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","129","±69","10.6%","±5.8"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","85","±58","7.0%","±4.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","183","±90","15.1%","±7.1"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±3.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","123","±58","10.1%","±4.6"
"                65 years and over","102,147","±2,741","3.8%","±0.1","45","±38","3.7%","±3.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","304","±101","25.1%","±7.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","34","±40","2.8%","±3.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","154","±77","12.7%","±6.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","76","±43","6.3%","±3.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","307","±68","25.3%","±5.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","403","±85","33.2%","±6.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.36","±0.17","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.68","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","2,868","±25","2,868","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","1,213","±89","42.3%","±3.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","588","±81","20.5%","±2.8"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","116","±57","4.0%","±2.0"
"        Child","1,898,296","±5,188","28.1%","±0.1","892","±109","31.1%","±3.8"
"        Other relatives","394,812","±8,541","5.9%","±0.1","59","±52","2.1%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±1.4"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","1,255","±108","1,255","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","425","±107","33.9%","±7.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","597","±87","47.6%","±7.9"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±3.1"
"        Widowed","65,484","±1,934","2.3%","±0.1","70","±58","5.6%","±4.6"
"        Divorced","227,113","±4,005","8.0%","±0.1","163","±86","13.0%","±6.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","1,278","±101","1,278","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","320","±97","25.0%","±6.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","617","±80","48.3%","±7.2"
"        Separated","55,256","±1,859","1.8%","±0.1","69","±63","5.4%","±5.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","106","±57","8.3%","±4.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","166","±74","13.0%","±5.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","17","±20","17","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","8","±13","47.1%","±52.9"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","21","±40","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","26","±31","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±235","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","56","±104","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","25","±41","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±13","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±13","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±13","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±13","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±13","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±13","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±13","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±13","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±13","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","712","±138","712","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","45","±23","6.3%","±3.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","10","±15","1.4%","±2.1"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","233","±73","32.7%","±10.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","240","±117","33.7%","±13.6"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","184","±96","25.8%","±12.2"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","2,083","±113","2,083","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","8","±12","0.4%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","144","±88","6.9%","±4.2"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","574","±136","27.6%","±5.9"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","219","±75","10.5%","±3.7"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","217","±103","10.4%","±4.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","483","±118","23.2%","±5.6"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","438","±121","21.0%","±5.7"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","1,931","±134","92.7%","±4.2"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","921","±143","44.2%","±6.7"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","2,350","±124","2,350","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","168","±73","7.1%","±3.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","2,873","±26","2,873","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","520","±110","18.1%","±3.8"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","539","±120","539","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","97","±57","18.0%","±8.2"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","1,759","±137","1,759","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","193","±83","11.0%","±4.7"
"    65 years and over","1,122,280","±664","1,122,280","(X)","575","±110","575","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","230","±69","40.0%","±9.2"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","2,890","±24","2,890","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","2,796","±66","96.7%","±2.1"
"        Different house (in the U.S. or abroad)","862,370","±11,510","12.5%","±0.2","94","±61","3.3%","±2.1"
"            Different house in the U.S.","800,834","±10,863","11.6%","±0.2","94","±61","3.3%","±2.1"
"                Same county","446,141","±8,933","6.4%","±0.1","50","±43","1.7%","±1.5"
"                Different county","354,693","±6,215","5.1%","±0.1","44","±40","1.5%","±1.4"
"                    Same state","205,752","±5,091","3.0%","±0.1","18","±28","0.6%","±1.0"
"                    Different state","148,941","±3,990","2.2%","±0.1","26","±27","0.9%","±0.9"
"            Abroad","61,536","±2,941","0.9%","±0.1","0","±13","0.0%","±1.4"
"PLACE OF BIRTH","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","2,899","±19","2,899","(X)"
"        Native","5,782,135","±10,227","82.7%","±0.1","2,735","±123","94.3%","±4.3"
"            Born in United States","5,572,843","±10,550","79.7%","±0.2","2,722","±126","93.9%","±4.4"
"                State of residence","4,174,551","±11,954","59.7%","±0.2","1,870","±191","64.5%","±6.6"
"                Different state","1,398,292","±9,460","20.0%","±0.1","852","±156","29.4%","±5.4"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","209,292","±4,176","3.0%","±0.1","13","±21","0.4%","±0.7"
"        Foreign born","1,209,717","±10,227","17.3%","±0.1","164","±124","5.7%","±4.3"
"U.S. CITIZENSHIP STATUS","","","","","","","",""
"    Foreign-born population","1,209,717","±10,227","1,209,717","(X)","164","±124","164","(X)"
"        Naturalized U.S. citizen","657,058","±6,826","54.3%","±0.5","73","±68","44.5%","±38.0"
"        Not a U.S. citizen","552,659","±8,065","45.7%","±0.5","91","±102","55.5%","±38.0"
"YEAR OF ENTRY","","","","","","","",""
"    Population born outside the United States","1,419,009","±10,550","1,419,009","(X)","177","±128","177","(X)"
"        Native","209,292","±4,176","209,292","(X)","13","±21","13","(X)"
"            Entered 2010 or later","61,308","±2,860","29.3%","±1.1","0","±13","0.0%","±91.2"
"            Entered before 2010","147,984","±3,102","70.7%","±1.1","13","±21","100.0%","±91.2"
"        Foreign born","1,209,717","±10,227","1,209,717","(X)","164","±124","164","(X)"
"            Entered 2010 or later","385,828","±7,484","31.9%","±0.5","59","±70","36.0%","±37.8"
"            Entered before 2010","823,889","±8,082","68.1%","±0.5","105","±105","64.0%","±37.8"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"    Foreign-born population, excluding population born at sea","1,209,717","±10,227","1,209,717","(X)","164","±124","164","(X)"
"        Europe","233,623","±4,981","19.3%","±0.4","81","±69","49.4%","±39.9"
"        Asia","372,717","±3,581","30.8%","±0.3","2","±4","1.2%","±2.3"
"        Africa","113,823","±3,313","9.4%","±0.3","0","±13","0.0%","±21.4"
"        Oceania","4,098","±490","0.3%","±0.1","0","±13","0.0%","±21.4"
"        Latin America","456,601","±7,328","37.7%","±0.5","73","±100","44.5%","±41.8"
"        Northern America","28,855","±1,370","2.4%","±0.1","8","±15","4.9%","±10.4"
"LANGUAGE SPOKEN AT HOME","","","","","","","",""
"    Population 5 years and over","6,633,909","±261","6,633,909","(X)","2,815","±48","2,815","(X)"
"        English only","5,018,331","±10,572","75.6%","±0.2","2,608","±134","92.6%","±4.1"
"        Language other than English","1,615,578","±10,535","24.4%","±0.2","207","±115","7.4%","±4.1"
"            Speak English less than ""very well""","631,900","±9,016","9.5%","±0.1","70","±69","2.5%","±2.5"
"        Spanish","623,189","±4,858","9.4%","±0.1","112","±82","4.0%","±2.9"
"            Speak English less than ""very well""","262,100","±4,775","4.0%","±0.1","43","±63","1.5%","±2.2"
"        Other Indo-European languages","601,764","±8,787","9.1%","±0.1","93","±76","3.3%","±2.7"
"            Speak English less than ""very well""","210,816","±5,330","3.2%","±0.1","25","±27","0.9%","±1.0"
"        Asian and Pacific Islander languages","291,065","±4,510","4.4%","±0.1","2","±4","0.1%","±0.1"
"            Speak English less than ""very well""","130,881","±3,152","2.0%","±0.1","2","±4","0.1%","±0.1"
"        Other languages","99,560","±3,943","1.5%","±0.1","0","±13","0.0%","±1.4"
"            Speak English less than ""very well""","28,103","±1,866","0.4%","±0.1","0","±13","0.0%","±1.4"
"ANCESTRY","","","","","","","",""
"    Total population","6,991,852","*****","6,991,852","(X)","2,899","±19","2,899","(X)"
"        American","260,364","±6,504","3.7%","±0.1","230","±117","7.9%","±4.0"
"        Arab","72,487","±3,641","1.0%","±0.1","0","±13","0.0%","±1.4"
"        Czech","12,119","±1,098","0.2%","±0.1","0","±13","0.0%","±1.4"
"        Danish","14,346","±1,162","0.2%","±0.1","15","±16","0.5%","±0.6"
"        Dutch","34,354","±1,922","0.5%","±0.1","30","±40","1.0%","±1.4"
"        English","655,283","±8,406","9.4%","±0.1","682","±201","23.5%","±6.9"
"        French (except Basque)","375,415","±6,388","5.4%","±0.1","291","±152","10.0%","±5.2"
"        French Canadian","235,524","±4,384","3.4%","±0.1","178","±148","6.1%","±5.1"
"        German","387,135","±7,027","5.5%","±0.1","425","±167","14.7%","±5.7"
"        Greek","76,566","±3,218","1.1%","±0.1","0","±13","0.0%","±1.4"
"        Hungarian","19,068","±1,432","0.3%","±0.1","22","±39","0.8%","±1.4"
"        Irish","1,345,219","±11,619","19.2%","±0.2","343","±145","11.8%","±5.0"
"        Italian","815,794","±9,186","11.7%","±0.1","202","±166","7.0%","±5.7"
"        Lithuanian","43,215","±2,035","0.6%","±0.1","97","±90","3.3%","±3.1"
"        Norwegian","35,032","±1,997","0.5%","±0.1","24","±26","0.8%","±0.9"
"        Polish","283,050","±4,814","4.0%","±0.1","169","±103","5.8%","±3.6"
"        Portuguese","270,183","±5,260","3.9%","±0.1","40","±46","1.4%","±1.6"
