"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01775!!Estimate","ZCTA5 01775!!Margin of Error","ZCTA5 01775!!Percent","ZCTA5 01775!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","2,646","±196","2,646","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,861","±221","70.3%","±6.6"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","779","±130","29.4%","±5.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","81","±71","3.1%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±19","0.0%","±1.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","187","±101","7.1%","±3.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","12","±24","0.5%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","175","±94","6.6%","±3.3"
"                65 years and over","102,147","±2,741","3.8%","±0.1","54","±45","2.0%","±1.7"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","517","±166","19.5%","±6.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","183","±138","6.9%","±5.2"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","185","±80","7.0%","±2.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","135","±66","5.1%","±2.4"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,069","±149","40.4%","±7.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","826","±129","31.2%","±5.4"
"        Average household size","2.48","±0.01","(X)","(X)","2.69","±0.20","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.96","±0.21","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","7,125","±24","7,125","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","2,646","±196","37.1%","±2.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,803","±180","25.3%","±2.5"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","62","±50","0.9%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,268","±228","31.8%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","319","±245","4.5%","±3.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","27","±39","0.4%","±0.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,753","±291","2,753","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","566","±180","20.6%","±5.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,921","±216","69.8%","±6.2"
"        Separated","37,600","±1,670","1.3%","±0.1","126","±128","4.6%","±4.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","33","±40","1.2%","±1.4"
