"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01801!!Estimate","ZCTA5 01801!!Margin of Error","ZCTA5 01801!!Percent","ZCTA5 01801!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","16,292","±468","16,292","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","7,743","±469","47.5%","±2.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","3,201","±317","19.6%","±2.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,224","±309","7.5%","±1.9"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","181","±124","1.1%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,788","±398","17.1%","±2.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","199","±163","1.2%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,684","±311","10.3%","±1.8"
"                65 years and over","102,147","±2,741","3.8%","±0.1","617","±177","3.8%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","4,537","±427","27.8%","±2.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","585","±188","3.6%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","2,675","±319","16.4%","±1.9"
"                65 years and over","221,896","±3,548","8.2%","±0.1","1,403","±250","8.6%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","4,738","±320","29.1%","±2.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,963","±401","30.5%","±2.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.50","±0.07","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.07","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","40,683","±114","40,683","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","16,292","±468","40.0%","±1.1"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","7,638","±453","18.8%","±1.1"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,277","±329","3.1%","±0.8"
"        Child","1,898,296","±5,188","28.1%","±0.1","11,581","±673","28.5%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,214","±411","5.4%","±1.0"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,681","±526","4.1%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","17,008","±729","17,008","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","6,064","±652","35.7%","±2.9"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","8,676","±466","51.0%","±3.2"
"        Separated","37,600","±1,670","1.3%","±0.1","117","±102","0.7%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","387","±147","2.3%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","1,764","±390","10.4%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","17,692","±547","17,692","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","5,640","±605","31.9%","±2.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","8,061","±498","45.6%","±3.1"
"        Separated","55,256","±1,859","1.8%","±0.1","295","±114","1.7%","±0.6"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,634","±275","9.2%","±1.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","2,062","±364","11.7%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","572","±195","572","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","39","±48","6.8%","±7.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","7","±9","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","59","±20","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±35","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","85","±36","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","46","±27","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
