"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02170!!Estimate","ZCTA5 02170!!Margin of Error","ZCTA5 02170!!Percent","ZCTA5 02170!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,001","±441","8,001","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,367","±375","42.1%","±4.2"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,355","±293","16.9%","±3.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","952","±284","11.9%","±3.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","68","±53","0.8%","±0.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,625","±304","20.3%","±3.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","96","±82","1.2%","±1.0"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,003","±248","12.5%","±3.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","418","±159","5.2%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,057","±335","25.7%","±4.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","111","±84","1.4%","±1.1"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,447","±299","18.1%","±3.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","589","±205","7.4%","±2.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,885","±254","23.6%","±2.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,660","±341","33.2%","±4.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.45","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.20","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","19,623","±1,229","19,623","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,001","±441","40.8%","±1.7"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,355","±397","17.1%","±1.6"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","895","±273","4.6%","±1.3"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,901","±493","19.9%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","2,134","±475","10.9%","±2.3"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,337","±469","6.8%","±2.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","8,993","±771","8,993","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","3,896","±617","43.3%","±4.6"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,362","±501","48.5%","±4.9"
"        Separated","37,600","±1,670","1.3%","±0.1","46","±45","0.5%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","188","±129","2.1%","±1.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","501","±220","5.6%","±2.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8,765","±645","8,765","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","3,499","±466","39.9%","±4.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,872","±439","44.2%","±3.9"
"        Separated","55,256","±1,859","1.8%","±0.1","127","±105","1.4%","±1.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","673","±212","7.7%","±2.4"
"        Divorced","324,764","±4,024","10.7%","±0.1","594","±211","6.8%","±2.3"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","142","±69","142","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","13","±20","9.2%","±14.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","4","±6","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","26","±13","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±88","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","13","±13","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","46","±26","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","819","±243","819","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","252","±191","30.8%","±18.5"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±25","0.0%","±4.8"
"            1 or 2 years","6,316","±677","5.0%","±0.5","53","±66","6.5%","±7.8"
"            3 or 4 years","5,630","±671","4.5%","±0.5","124","±141","15.1%","±16.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","75","±104","9.2%","±11.5"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","252","±191","252","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","112","±86","44.4%","±22.3"
"        Who are married","19,550","±1,487","64.5%","±2.5","252","±191","100.0%","±14.6"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,833","±511","3,833","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","207","±108","5.4%","±2.7"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","133","±84","3.5%","±2.2"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,248","±359","32.6%","±6.9"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","596","±137","15.5%","±3.7"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,649","±292","43.0%","±6.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","15,565","±1,035","15,565","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","1,298","±331","8.3%","±2.2"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","1,114","±287","7.2%","±1.8"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","2,876","±606","18.5%","±3.6"
