"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01027!!Estimate","ZCTA5 01027!!Margin of Error","ZCTA5 01027!!Percent","ZCTA5 01027!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","8,451","±270","8,451","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,606","±272","42.7%","±3.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,109","±145","13.1%","±1.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","661","±231","7.8%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","174","±116","2.1%","±1.4"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,746","±301","20.7%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","68","±75","0.8%","±0.9"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,135","±253","13.4%","±2.9"
"                65 years and over","102,147","±2,741","3.8%","±0.1","387","±130","4.6%","±1.5"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,438","±424","28.8%","±4.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","380","±159","4.5%","±1.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,476","±307","17.5%","±3.4"
"                65 years and over","221,896","±3,548","8.2%","±0.1","808","±229","9.6%","±2.6"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,930","±232","22.8%","±2.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,009","±288","35.6%","±3.3"
"        Average household size","2.48","±0.01","(X)","(X)","2.09","±0.07","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.62","±0.10","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","17,637","±165","17,637","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","8,451","±270","47.9%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,654","±308","20.7%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","634","±211","3.6%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,987","±433","22.6%","±2.5"
"        Other relatives","394,812","±8,541","5.9%","±0.1","389","±147","2.2%","±0.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","522","±267","3.0%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","7,184","±414","7,184","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,216","±383","30.8%","±4.5"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,771","±318","52.5%","±4.5"
"        Separated","37,600","±1,670","1.3%","±0.1","60","±50","0.8%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","227","±109","3.2%","±1.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","910","±246","12.7%","±3.3"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","8,219","±474","8,219","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,605","±561","31.7%","±5.6"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,850","±307","46.8%","±5.0"
"        Separated","55,256","±1,859","1.8%","±0.1","178","±110","2.2%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","560","±217","6.8%","±2.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,026","±289","12.5%","±3.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","38","±36","38","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±53.4"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±16","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","9","±9","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±76","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","13","±19","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","8","±14","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","228","±120","228","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","42","±65","18.4%","±25.3"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±16.0"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±16.0"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±21","0.0%","±16.0"
"            5 or more years","13,647","±1,024","10.9%","±0.8","42","±65","18.4%","±25.3"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","42","±65","42","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","42","±65","100.0%","±50.8"
"        Who are married","19,550","±1,487","64.5%","±2.5","42","±65","100.0%","±50.8"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","3,004","±388","3,004","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","185","±79","6.2%","±2.5"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","68","±47","2.3%","±1.5"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","1,403","±242","46.7%","±6.3"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","686","±200","22.8%","±6.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","662","±209","22.0%","±5.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","13,700","±510","13,700","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","123","±79","0.9%","±0.6"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","544","±178","4.0%","±1.3"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,615","±438","26.4%","±3.0"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,352","±416","17.2%","±2.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,517","±266","11.1%","±1.9"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","3,137","±426","22.9%","±3.0"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","2,412","±344","17.6%","±2.4"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","13,033","±537","95.1%","±1.4"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","5,549","±525","40.5%","±3.5"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","14,989","±296","14,989","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,457","±281","9.7%","±1.9"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","17,705","±152","17,705","(X)"
