"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01952!!Estimate","ZCTA5 01952!!Margin of Error","ZCTA5 01952!!Percent","ZCTA5 01952!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,885","±220","3,885","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","1,730","±208","44.5%","±6.0"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","502","±127","12.9%","±3.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","505","±209","13.0%","±5.1"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","44","±33","1.1%","±0.8"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","711","±151","18.3%","±3.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","45","±51","1.2%","±1.3"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","583","±151","15.0%","±3.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","280","±106","7.2%","±2.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","939","±212","24.2%","±5.2"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","105","±63","2.7%","±1.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","535","±149","13.8%","±3.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","243","±85","6.3%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","850","±117","21.9%","±3.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,463","±158","37.7%","±4.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.34","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.00","±0.16","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,091","±35","9,091","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,885","±220","42.7%","±2.4"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","1,738","±215","19.1%","±2.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","426","±134","4.7%","±1.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","2,085","±290","22.9%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","700","±293","7.7%","±3.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","257","±122","2.8%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,937","±290","3,937","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","1,484","±285","37.7%","±5.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","1,858","±233","47.2%","±5.6"
"        Separated","37,600","±1,670","1.3%","±0.1","30","±29","0.8%","±0.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","173","±100","4.4%","±2.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","392","±121","10.0%","±3.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,075","±260","4,075","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,219","±297","29.9%","±6.1"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","1,793","±212","44.0%","±6.3"
"        Separated","55,256","±1,859","1.8%","±0.1","58","±41","1.4%","±1.0"
"        Widowed","239,073","±3,906","7.9%","±0.1","324","±148","8.0%","±3.6"
"        Divorced","324,764","±4,024","10.7%","±0.1","681","±152","16.7%","±3.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","52","±54","52","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","33","±47","63.5%","±53.5"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","26","±37","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","28","±30","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±160","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","43","±58","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","22","±33","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","326","±147","326","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","160","±118","49.1%","±25.0"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","35","±50","10.7%","±15.4"
"            1 or 2 years","6,316","±677","5.0%","±0.5","76","±105","23.3%","±27.7"
"            3 or 4 years","5,630","±671","4.5%","±0.5","13","±22","4.0%","±7.7"
"            5 or more years","13,647","±1,024","10.9%","±0.8","36","±29","11.0%","±8.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","160","±118","160","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","65","±55","40.6%","±20.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","89","±100","55.6%","±37.4"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","1,631","±236","1,631","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","136","±76","8.3%","±4.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","37","±33","2.3%","±1.9"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","645","±145","39.5%","±8.1"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","345","±112","21.2%","±6.4"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","468","±164","28.7%","±8.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","6,906","±288","6,906","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","144","±74","2.1%","±1.1"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","366","±134","5.3%","±1.9"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,784","±252","25.8%","±3.8"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","1,033","±210","15.0%","±2.9"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","627","±185","9.1%","±2.7"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","1,975","±263","28.6%","±3.5"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","977","±203","14.1%","±2.7"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","6,396","±309","92.6%","±1.9"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","2,952","±335","42.7%","±4.1"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","7,765","±223","7,765","(X)"
