"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01845!!Estimate","ZCTA5 01845!!Margin of Error","ZCTA5 01845!!Percent","ZCTA5 01845!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","10,971","±445","10,971","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","6,092","±429","55.5%","±3.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,764","±257","25.2%","±2.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","852","±364","7.8%","±3.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","278","±181","2.5%","±1.7"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,369","±408","12.5%","±3.5"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","64","±58","0.6%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,031","±358","9.4%","±3.1"
"                65 years and over","102,147","±2,741","3.8%","±0.1","521","±248","4.7%","±2.1"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,658","±354","24.2%","±3.1"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","434","±168","4.0%","±1.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,615","±307","14.7%","±2.7"
"                65 years and over","221,896","±3,548","8.2%","±0.1","989","±200","9.0%","±1.8"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,800","±266","34.6%","±2.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","3,454","±341","31.5%","±2.7"
"        Average household size","2.48","±0.01","(X)","(X)","2.70","±0.11","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.21","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","29,611","±250","29,611","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","10,971","±445","37.1%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","6,166","±431","20.8%","±1.4"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","923","±415","3.1%","±1.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","9,097","±491","30.7%","±1.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,599","±639","5.4%","±2.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","855","±386","2.9%","±1.3"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","12,501","±616","12,501","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","4,504","±628","36.0%","±3.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","6,668","±468","53.3%","±3.6"
"        Separated","37,600","±1,670","1.3%","±0.1","82","±72","0.7%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","304","±156","2.4%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","943","±352","7.5%","±2.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","13,197","±429","13,197","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","4,312","±464","32.7%","±3.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","6,356","±420","48.2%","±3.1"
"        Separated","55,256","±1,859","1.8%","±0.1","130","±98","1.0%","±0.7"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,221","±235","9.3%","±1.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,178","±331","8.9%","±2.5"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","270","±128","270","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±28","0.0%","±13.7"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±9","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","36","±17","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±27","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","63","±37","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","27","±19","(X)","(X)"
