"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01236!!Estimate","ZCTA5 01236!!Margin of Error","ZCTA5 01236!!Percent","ZCTA5 01236!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","704","±146","704","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","456","±133","64.8%","±14.7"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","78","±69","11.1%","±9.4"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","54","±60","7.7%","±8.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","14","±21","2.0%","±3.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","56","±65","8.0%","±8.6"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±13","0.0%","±5.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","23","±24","3.3%","±3.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","4","±6","0.6%","±0.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","138","±91","19.6%","±11.9"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","0","±13","0.0%","±5.5"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","97","±81","13.8%","±11.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","54","±51","7.7%","±7.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","119","±83","16.9%","±11.4"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","361","±110","51.3%","±14.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.25","±0.27","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.49","±0.27","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","1,585","±350","1,585","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","704","±146","44.4%","±5.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","450","±133","28.4%","±7.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","59","±70","3.7%","±4.4"
"        Child","1,898,296","±5,188","28.1%","±0.1","293","±139","18.5%","±6.7"
"        Other relatives","394,812","±8,541","5.9%","±0.1","79","±110","5.0%","±6.6"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","0","±13","0.0%","±2.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","676","±184","676","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","153","±120","22.6%","±14.3"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","457","±135","67.6%","±19.1"
"        Separated","37,600","±1,670","1.3%","±0.1","0","±13","0.0%","±5.7"
"        Widowed","65,484","±1,934","2.3%","±0.1","0","±13","0.0%","±5.7"
"        Divorced","227,113","±4,005","8.0%","±0.1","66","±70","9.8%","±9.0"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","754","±155","754","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","207","±96","27.5%","±11.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","458","±134","60.7%","±14.3"
"        Separated","55,256","±1,859","1.8%","±0.1","0","±13","0.0%","±5.2"
"        Widowed","239,073","±3,906","7.9%","±0.1","52","±44","6.9%","±5.2"
"        Divorced","324,764","±4,024","10.7%","±0.1","37","±29","4.9%","±3.8"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±13","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±13","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±195","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±136","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±686","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±245","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±298","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
