"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02188!!Estimate","ZCTA5 02188!!Margin of Error","ZCTA5 02188!!Percent","ZCTA5 02188!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","7,085","±559","7,085","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,410","±462","48.1%","±5.3"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","984","±240","13.9%","±3.5"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","500","±194","7.1%","±2.7"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","120","±77","1.7%","±1.1"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,289","±354","18.2%","±4.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","0","±21","0.0%","±0.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","956","±332","13.5%","±4.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","340","±202","4.8%","±2.8"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,886","±364","26.6%","±4.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","102","±93","1.4%","±1.3"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,407","±299","19.9%","±4.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","719","±230","10.1%","±3.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,361","±264","19.2%","±3.7"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,406","±383","34.0%","±5.1"
"        Average household size","2.48","±0.01","(X)","(X)","2.25","±0.13","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.94","±0.22","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","15,972","±1,184","15,972","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","7,085","±559","44.4%","±2.6"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,302","±444","20.7%","±2.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","500","±193","3.1%","±1.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,950","±651","24.7%","±3.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","933","±289","5.8%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","202","±125","1.3%","±0.8"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","7,068","±601","7,068","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,278","±450","32.2%","±5.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","3,708","±458","52.5%","±5.5"
"        Separated","37,600","±1,670","1.3%","±0.1","28","±33","0.4%","±0.5"
"        Widowed","65,484","±1,934","2.3%","±0.1","261","±112","3.7%","±1.5"
"        Divorced","227,113","±4,005","8.0%","±0.1","793","±329","11.2%","±4.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","7,346","±768","7,346","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,201","±580","30.0%","±6.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,568","±491","48.6%","±5.9"
"        Separated","55,256","±1,859","1.8%","±0.1","175","±133","2.4%","±1.8"
"        Widowed","239,073","±3,906","7.9%","±0.1","658","±199","9.0%","±2.7"
"        Divorced","324,764","±4,024","10.7%","±0.1","744","±227","10.1%","±3.1"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","151","±132","151","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","27","±32","17.9%","±28.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","15","±18","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","44","±39","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±85","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","18","±21","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","91","±93","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","291","±147","291","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","96","±70","33.0%","±22.9"
