"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01460!!Estimate","ZCTA5 01460!!Margin of Error","ZCTA5 01460!!Percent","ZCTA5 01460!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","3,504","±149","3,504","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","2,312","±173","66.0%","±5.1"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,165","±125","33.2%","±3.3"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","64","±49","1.8%","±1.4"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","10","±17","0.3%","±0.5"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","325","±138","9.3%","±3.9"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","53","±44","1.5%","±1.2"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","158","±81","4.5%","±2.2"
"                65 years and over","102,147","±2,741","3.8%","±0.1","56","±42","1.6%","±1.2"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","803","±141","22.9%","±3.7"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","68","±60","1.9%","±1.7"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","432","±98","12.3%","±2.6"
"                65 years and over","221,896","±3,548","8.2%","±0.1","287","±80","8.2%","±2.2"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","1,444","±132","41.2%","±3.9"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","1,103","±156","31.5%","±4.5"
"        Average household size","2.48","±0.01","(X)","(X)","2.83","±0.12","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.19","±0.13","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","9,914","±75","9,914","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","3,504","±149","35.3%","±1.5"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","2,318","±172","23.4%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","64","±45","0.6%","±0.5"
"        Child","1,898,296","±5,188","28.1%","±0.1","3,495","±226","35.3%","±2.2"
"        Other relatives","394,812","±8,541","5.9%","±0.1","392","±176","4.0%","±1.8"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","141","±117","1.4%","±1.2"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","3,776","±225","3,776","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","979","±238","25.9%","±5.2"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","2,450","±174","64.9%","±6.4"
"        Separated","37,600","±1,670","1.3%","±0.1","19","±30","0.5%","±0.8"
"        Widowed","65,484","±1,934","2.3%","±0.1","52","±46","1.4%","±1.2"
"        Divorced","227,113","±4,005","8.0%","±0.1","276","±135","7.3%","±3.4"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","4,314","±209","4,314","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","1,149","±261","26.6%","±5.3"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","2,433","±173","56.4%","±4.8"
"        Separated","55,256","±1,859","1.8%","±0.1","24","±24","0.6%","±0.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","410","±110","9.5%","±2.5"
"        Divorced","324,764","±4,024","10.7%","±0.1","298","±102","6.9%","±2.4"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","51","±36","51","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±21","0.0%","±46.1"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±41","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","24","±17","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±104","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","32","±29","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","27","±29","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","243","±213","243","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","18","±21","7.4%","±12.7"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±21","0.0%","±15.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±21","0.0%","±15.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","8","±13","3.3%","±7.2"
"            5 or more years","13,647","±1,024","10.9%","±0.8","10","±17","4.1%","±9.2"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","18","±21","18","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±21","0.0%","±77.5"
"        Who are married","19,550","±1,487","64.5%","±2.5","8","±13","44.4%","±55.6"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","2,643","±244","2,643","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","319","±96","12.1%","±3.4"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","205","±76","7.8%","±2.7"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","998","±202","37.8%","±7.2"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","606","±172","22.9%","±6.8"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","515","±207","19.5%","±7.0"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","6,961","±177","6,961","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","36","±38","0.5%","±0.5"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","157","±103","2.3%","±1.5"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","1,441","±404","20.7%","±5.7"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","922","±175","13.2%","±2.5"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","440","±128","6.3%","±1.8"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","2,016","±307","29.0%","±4.4"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","1,949","±266","28.0%","±3.9"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","6,768","±190","97.2%","±1.6"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","3,965","±401","57.0%","±5.9"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","7,656","±177","7,656","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","361","±113","4.7%","±1.5"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","9,939","±68","9,939","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","985","±240","9.9%","±2.4"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","2,407","±177","2,407","(X)"
