"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01843!!Estimate","ZCTA5 01843!!Margin of Error","ZCTA5 01843!!Percent","ZCTA5 01843!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","10,204","±558","10,204","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","3,273","±486","32.1%","±4.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","1,232","±294","12.1%","±2.8"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","1,018","±302","10.0%","±3.0"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","587","±262","5.8%","±2.6"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","2,361","±524","23.1%","±4.7"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","251","±159","2.5%","±1.6"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,344","±382","13.2%","±3.5"
"                65 years and over","102,147","±2,741","3.8%","±0.1","385","±143","3.8%","±1.4"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","3,552","±456","34.8%","±4.4"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","1,012","±267","9.9%","±2.6"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,379","±324","13.5%","±3.1"
"                65 years and over","221,896","±3,548","8.2%","±0.1","643","±241","6.3%","±2.3"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,796","±474","37.2%","±4.6"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","2,390","±336","23.4%","±3.2"
"        Average household size","2.48","±0.01","(X)","(X)","2.71","±0.15","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","3.25","±0.16","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","27,696","±1,574","27,696","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","10,204","±558","36.8%","±2.0"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","3,053","±356","11.0%","±1.2"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","1,012","±298","3.7%","±1.1"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,975","±1,176","32.4%","±3.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","3,385","±644","12.2%","±2.4"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,067","±434","3.9%","±1.5"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","10,828","±790","10,828","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","5,097","±680","47.1%","±4.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","4,138","±542","38.2%","±4.4"
"        Separated","37,600","±1,670","1.3%","±0.1","478","±203","4.4%","±1.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","131","±90","1.2%","±0.8"
"        Divorced","227,113","±4,005","8.0%","±0.1","984","±251","9.1%","±2.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","10,893","±729","10,893","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","4,953","±727","45.5%","±4.8"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","3,443","±399","31.6%","±3.9"
"        Separated","55,256","±1,859","1.8%","±0.1","603","±225","5.5%","±2.1"
"        Widowed","239,073","±3,906","7.9%","±0.1","664","±194","6.1%","±1.9"
