"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 01701!!Estimate","ZCTA5 01701!!Margin of Error","ZCTA5 01701!!Percent","ZCTA5 01701!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","13,189","±511","13,189","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","8,031","±509","60.9%","±3.5"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","2,836","±428","21.5%","±3.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","552","±207","4.2%","±1.6"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","149","±119","1.1%","±0.9"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,917","±298","14.5%","±2.2"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","88","±73","0.7%","±0.5"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","1,289","±224","9.8%","±1.7"
"                65 years and over","102,147","±2,741","3.8%","±0.1","366","±129","2.8%","±1.0"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","2,689","±369","20.4%","±2.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","295","±119","2.2%","±0.9"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,784","±278","13.5%","±2.0"
"                65 years and over","221,896","±3,548","8.2%","±0.1","999","±207","7.6%","±1.5"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","3,635","±444","27.6%","±3.3"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","4,513","±414","34.2%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","2.48","±0.08","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.94","±0.09","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","32,709","±1,376","32,709","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","13,189","±511","40.3%","±1.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","7,925","±521","24.2%","±1.3"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","570","±213","1.7%","±0.7"
"        Child","1,898,296","±5,188","28.1%","±0.1","8,996","±849","27.5%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","1,304","±375","4.0%","±1.1"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","725","±240","2.2%","±0.7"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","13,795","±609","13,795","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","4,147","±463","30.1%","±2.7"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","8,320","±530","60.3%","±3.6"
"        Separated","37,600","±1,670","1.3%","±0.1","119","±77","0.9%","±0.6"
"        Widowed","65,484","±1,934","2.3%","±0.1","335","±127","2.4%","±0.9"
"        Divorced","227,113","±4,005","8.0%","±0.1","874","±272","6.3%","±1.9"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","13,898","±676","13,898","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","3,206","±487","23.1%","±2.9"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","8,182","±516","58.9%","±3.8"
"        Separated","55,256","±1,859","1.8%","±0.1","129","±76","0.9%","±0.5"
"        Widowed","239,073","±3,906","7.9%","±0.1","1,159","±268","8.3%","±1.8"
"        Divorced","324,764","±4,024","10.7%","±0.1","1,222","±284","8.8%","±2.0"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","381","±169","381","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","42","±41","11.0%","±10.8"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","14","±14","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","56","±24","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","0","±55","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","69","±35","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","58","±41","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","374","±163","374","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","74","±60","19.8%","±15.4"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±28","0.0%","±10.1"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±28","0.0%","±10.1"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±28","0.0%","±10.1"
"            5 or more years","13,647","±1,024","10.9%","±0.8","74","±60","19.8%","±15.4"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","74","±60","74","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","45","±32","60.8%","±18.0"
"        Who are married","19,550","±1,487","64.5%","±2.5","64","±64","86.5%","±27.5"
"SCHOOL ENROLLMENT","","","","","","","",""
"    Population 3 years and over enrolled in school","1,720,058","±5,824","1,720,058","(X)","7,315","±782","7,315","(X)"
"        Nursery school, preschool","102,274","±2,603","5.9%","±0.1","862","±599","11.8%","±7.6"
"        Kindergarten","75,256","±2,443","4.4%","±0.1","275","±132","3.8%","±1.8"
"        Elementary school (grades 1-8)","616,062","±3,164","35.8%","±0.2","2,839","±473","38.8%","±5.8"
"        High school (grades 9-12)","346,224","±2,810","20.1%","±0.2","1,488","±301","20.3%","±4.0"
"        College or graduate school","580,242","±4,987","33.7%","±0.2","1,851","±369","25.3%","±4.8"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over","4,902,868","±589","4,902,868","(X)","24,460","±976","24,460","(X)"
"        Less than 9th grade","207,481","±3,821","4.2%","±0.1","384","±176","1.6%","±0.7"
"        9th to 12th grade, no diploma","225,734","±3,923","4.6%","±0.1","499","±144","2.0%","±0.6"
"        High school graduate (includes equivalency)","1,137,085","±9,926","23.2%","±0.2","3,890","±587","15.9%","±2.2"
"        Some college, no degree","739,611","±7,345","15.1%","±0.2","2,978","±448","12.2%","±1.8"
"        Associate's degree","376,608","±4,932","7.7%","±0.1","1,503","±271","6.1%","±1.1"
"        Bachelor's degree","1,215,939","±8,658","24.8%","±0.2","8,778","±699","35.9%","±2.7"
"        Graduate or professional degree","1,000,410","±8,572","20.4%","±0.2","6,428","±621","26.3%","±2.2"
"        High school graduate or higher","4,469,653","±5,853","91.2%","±0.1","23,577","±975","96.4%","±1.0"
"        Bachelor's degree or higher","2,216,349","±12,650","45.2%","±0.3","15,206","±888","62.2%","±2.9"
"VETERAN STATUS","","","","","","","",""
"    Civilian population 18 years and over","5,596,622","±698","5,596,622","(X)","26,703","±1,014","26,703","(X)"
"        Civilian veterans","277,442","±3,409","5.0%","±0.1","1,363","±302","5.1%","±1.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","6,922,305","±655","6,922,305","(X)","32,823","±1,377","32,823","(X)"
"        With a disability","803,600","±8,111","11.6%","±0.1","2,860","±390","8.7%","±1.2"
"    Under 18 years","1,386,984","±319","1,386,984","(X)","6,544","±894","6,544","(X)"
"        With a disability","64,995","±2,247","4.7%","±0.2","151","±102","2.3%","±1.6"
"    18 to 64 years","4,413,041","±997","4,413,041","(X)","19,732","±973","19,732","(X)"
"        With a disability","393,175","±6,150","8.9%","±0.1","1,164","±303","5.9%","±1.5"
"    65 years and over","1,122,280","±664","1,122,280","(X)","6,547","±638","6,547","(X)"
"        With a disability","345,430","±3,933","30.8%","±0.3","1,545","±306","23.6%","±4.1"
"RESIDENCE 1 YEAR AGO","","","","","","","",""
"    Population 1 year and over","6,925,117","±1,896","6,925,117","(X)","33,052","±1,357","33,052","(X)"
"        Same house","6,062,747","±11,850","87.5%","±0.2","30,907","±1,371","93.5%","±1.7"
