"Label (Grouping)","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","ZCTA5 02113!!Estimate","ZCTA5 02113!!Margin of Error","ZCTA5 02113!!Percent","ZCTA5 02113!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","2,714,448","±4,158","2,714,448","(X)","4,025","±439","4,025","(X)"
"        Married-couple household","1,268,605","±8,723","46.7%","±0.3","565","±127","14.0%","±3.4"
"            With children of the householder under 18 years","497,049","±5,613","18.3%","±0.2","130","±87","3.2%","±2.2"
"        Cohabiting couple household","197,242","±3,699","7.3%","±0.1","429","±189","10.7%","±4.3"
"            With children of the householder under 18 years","51,274","±1,947","1.9%","±0.1","0","±19","0.0%","±1.0"
"        Male householder, no spouse/partner present","473,534","±4,711","17.4%","±0.2","1,293","±234","32.1%","±6.3"
"            With children of the householder under 18 years","26,391","±1,420","1.0%","±0.1","21","±44","0.5%","±1.1"
"            Householder living alone","326,240","±4,165","12.0%","±0.2","884","±172","22.0%","±4.4"
"                65 years and over","102,147","±2,741","3.8%","±0.1","101","±61","2.5%","±1.6"
"        Female householder, no spouse/partner present","775,067","±5,852","28.6%","±0.2","1,738","±415","43.2%","±7.6"
"            With children of the householder under 18 years","133,036","±2,935","4.9%","±0.1","11","±17","0.3%","±0.4"
"            Householder living alone","443,007","±4,718","16.3%","±0.2","1,214","±309","30.2%","±6.2"
"                65 years and over","221,896","±3,548","8.2%","±0.1","195","±110","4.8%","±2.7"
"        Households with one or more people under 18 years","779,995","±4,432","28.7%","±0.2","171","±101","4.2%","±2.5"
"        Households with one or more people 65 years and over","835,843","±3,332","30.8%","±0.1","416","±116","10.3%","±2.8"
"        Average household size","2.48","±0.01","(X)","(X)","1.66","±0.09","(X)","(X)"
"        Average family size","3.08","±0.01","(X)","(X)","2.50","±0.20","(X)","(X)"
"RELATIONSHIP","","","","","","","",""
"    Population in households","6,744,826","*****","6,744,826","(X)","6,692","±790","6,692","(X)"
"        Householder","2,714,448","±4,158","40.2%","±0.1","4,025","±439","60.1%","±3.3"
"        Spouse","1,264,620","±9,080","18.7%","±0.1","565","±117","8.4%","±1.7"
"        Unmarried partner","201,007","±3,828","3.0%","±0.1","381","±164","5.7%","±2.2"
"        Child","1,898,296","±5,188","28.1%","±0.1","333","±143","5.0%","±2.0"
"        Other relatives","394,812","±8,541","5.9%","±0.1","92","±83","1.4%","±1.2"
"        Other nonrelatives","271,643","±6,161","4.0%","±0.1","1,296","±314","19.4%","±3.6"
"MARITAL STATUS","","","","","","","",""
"    Males 15 years and over","2,831,580","±492","2,831,580","(X)","2,969","±459","2,969","(X)"
"        Never married","1,113,128","±7,242","39.3%","±0.3","2,179","±429","73.4%","±5.8"
"        Now married, except separated","1,388,255","±8,794","49.0%","±0.3","604","±127","20.3%","±4.6"
"        Separated","37,600","±1,670","1.3%","±0.1","43","±58","1.4%","±1.9"
"        Widowed","65,484","±1,934","2.3%","±0.1","8","±13","0.3%","±0.4"
"        Divorced","227,113","±4,005","8.0%","±0.1","135","±96","4.5%","±3.2"
"    Females 15 years and over","3,024,592","±465","3,024,592","(X)","3,499","±708","3,499","(X)"
"        Never married","1,055,131","±6,774","34.9%","±0.2","2,583","±675","73.8%","±6.0"
"        Now married, except separated","1,350,368","±8,695","44.6%","±0.3","580","±131","16.6%","±4.5"
"        Separated","55,256","±1,859","1.8%","±0.1","46","±49","1.3%","±1.4"
"        Widowed","239,073","±3,906","7.9%","±0.1","98","±71","2.8%","±2.0"
"        Divorced","324,764","±4,024","10.7%","±0.1","192","±124","5.5%","±3.6"
"FERTILITY","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","75,648","±2,253","75,648","(X)","0","±19","0","(X)"
"        Unmarried women (widowed, divorced, and never married)","21,673","±1,166","28.6%","±1.4","0","±19","-","**"
"            Per 1,000 unmarried women","21","±1","(X)","(X)","0","±16","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","45","±1","(X)","(X)","0","±14","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","4","±1","(X)","(X)","-","**","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","66","±3","(X)","(X)","0","±17","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±2","(X)","(X)","0","±65","(X)","(X)"
"GRANDPARENTS","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","125,752","±3,505","125,752","(X)","0","±19","0","(X)"
"        Grandparents responsible for grandchildren","30,300","±1,689","24.1%","±1.2","0","±19","-","**"
"        Years responsible for grandchildren","","","","","","","",""
"            Less than 1 year","4,707","±698","3.7%","±0.5","0","±19","-","**"
"            1 or 2 years","6,316","±677","5.0%","±0.5","0","±19","-","**"
"            3 or 4 years","5,630","±671","4.5%","±0.5","0","±19","-","**"
"            5 or more years","13,647","±1,024","10.9%","±0.8","0","±19","-","**"
"    Number of grandparents responsible for own grandchildren under 18 years","30,300","±1,689","30,300","(X)","0","±19","0","(X)"
"        Who are female","20,516","±1,259","67.7%","±1.5","0","±19","-","**"
"        Who are married","19,550","±1,487","64.5%","±2.5","0","±19","-","**"
"SCHOOL ENROLLMENT","","","","","","","",""
